TerminalID;ProjectID;ComboID;Country;Region;Wiki;TerminalName;UnitName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Import/Export;Capacity;CapacityUnits;CapacityInMtpa;Location;Prefecture/District;State/Province;Latitude;Longitude;Accuracy;Floating;FID;FIDYear;OtherLanguageName;PowerPlantsSupplied;OtherLanguageWikiPage
T0205;1;T020501;United States;North America;https://www.gem.wiki/Fourchon_LNG_Terminal;Fourchon LNG Terminal;Phase 1;Gulf Coast LNG Terminal;Fourchon LNG LLC [100.00%];Energy World [100.00%];Proposed;2022;;;;Export;2;mtpa;2;Port Fourchon;Lafourche Parish;Louisiana;29.105833;-90.194444;approximate;;Pre-FID;;;;
T0205;2;T020502;United States;North America;https://www.gem.wiki/Fourchon_LNG_Terminal;Fourchon LNG Terminal;Phase 2;Gulf Coast LNG Terminal;Fourchon LNG LLC [100.00%];Energy World [100.00%];Proposed;2023;;;;Export;3;mtpa;3;Port Fourchon;Lafourche Parish;Louisiana;29.105833;-90.194444;approximate;;Pre-FID;;;;
T0206;1;T020601;United States;North America;https://www.gem.wiki/Alaska_South_Central_LNG_Terminal;Alaska LNG Terminal;T1;Alaska South Central LNG Terminal;Alaska Gasline Development Corporation [100.00%];State of Alaska [100.00%];Proposed;2025;;;;Export;6.7;mtpa;6.7;Nikiski;;Alaska;60.707778;-151.262778;approximate;;Pre-FID;2021;;;
T0206;2;T020602;United States;North America;https://www.gem.wiki/Alaska_South_Central_LNG_Terminal;Alaska LNG Terminal;T2;Alaska South Central LNG Terminal;Alaska Gasline Development Corporation [100.00%];State of Alaska [100.00%];Proposed;2025;;;;Export;6.7;mtpa;6.7;Nikiski;;Alaska;60.707778;-151.262778;approximate;;Pre-FID;2021;;;
T0206;3;T020603;United States;North America;https://www.gem.wiki/Alaska_South_Central_LNG_Terminal;Alaska LNG Terminal;T3;Alaska South Central LNG Terminal;Alaska Gasline Development Corporation [100.00%];State of Alaska [100.00%];Proposed;2025;;;;Export;6.7;mtpa;6.7;Nikiski;;Alaska;60.707778;-151.262778;approximate;;Pre-FID;2021;;;
T0207;1;T020701;United States;North America;https://www.gem.wiki/Alturas_LNG_Terminal;Alturas LNG Terminal;;;Alturas LLC [200.00%];"Highstar Capital IV [unknown %]; WesPac Energy LLC [unknown %]";Cancelled;2016;;;;Export;1.5;mtpa;1.5;Port Arthur;;Texas;29.885;-93.94;approximate;;;;;;
T0208;1;T020801;United States;North America;https://www.gem.wiki/American_LNG_Hialeah_Terminal;American LNG Hialeah Terminal;;;Fortress Investment Group [100.00%];Softbank [100.00%];Operating;2016;;;;Export;0.01;bcf/d;0.06;Medley;;Florida;25.809175;-80.296697;approximate;;;;;;
T0209;1;T020901;United States;North America;https://www.gem.wiki/American_LNG_Titusville_Terminal;American LNG Titusville Terminal;;;American LNG Marketing LLC [100.00%];Fortress Investment Group [100.00%];Shelved;;;;;Export;0.08;bcf/d;0.63;Titusville;;Florida;28.591111;-80.82;approximate;;;;;;
T0210;1;T021001;United States;North America;https://www.gem.wiki/Annova_LNG_Brownsville_Terminal;Annova LNG Brownsville Terminal;T1;;Annova LNG [400.00%];"Exelon Corporation [80.55%]; Enbridge [10.50%]; Black & Veatch Holding Company [4.48%]; Kiewit Corporation [4.48%]";Cancelled;2025;;;;Export;1.08;mtpa;1.08;Brownsville;;Texas;25.950835;-97.410844;approximate;;Pre-FID;2021;;;
T0210;2;T021002;United States;North America;https://www.gem.wiki/Annova_LNG_Brownsville_Terminal;Annova LNG Brownsville Terminal;T2;;Annova LNG [400.00%];"Exelon Corporation [80.55%]; Enbridge [10.50%]; Black & Veatch Holding Company [4.48%]; Kiewit Corporation [4.48%]";Cancelled;2025;;;;Export;1.08;mtpa;1.08;Brownsville;;Texas;25.950835;-97.410844;approximate;;Pre-FID;2021;;;
