id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_N_855;None;['INET_N_855'];['INET_N_855'];53.01781;23.896413;PL;None;{'nuts_id_1': 'PL8', 'nuts_id_2': 'PL84', 'nuts_id_3': 'PL841'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1828;INET_N_1828;['PL_242'];['INET_N_1828'];52.98499399999999;22.241386;PL;None;{'nuts_id_1': 'PL8', 'nuts_id_2': 'PL84', 'nuts_id_3': 'PL842'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_329;INET_N_329;['PL_48'];['INET_N_329'];52.88148399999999;20.619795;PL;None;{'nuts_id_1': 'PL9', 'nuts_id_2': 'PL92', 'nuts_id_3': 'PL922'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1612;INET_N_1612;['IT_794'];['INET_N_1612'];46.50552800000001;13.592806;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1009;INET_N_1009;['IT_125'];['INET_N_1009'];46.503733000000004;13.416054;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1093;INET_N_1093;['IT_1153'];['INET_N_1093'];38.022844;15.013029000000001;IT;None;{'nuts_id_1': 'ITG', 'nuts_id_2': 'ITG1', 'nuts_id_3': 'ITG13'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1061;INET_N_1061;['IT_133'];['INET_N_1061'];38.272079;15.588770000000002;IT;None;{'nuts_id_1': 'ITG', 'nuts_id_2': 'ITG1', 'nuts_id_3': 'ITG13'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1086;INET_N_1086;['IT_1156'];['INET_N_1086'];46.398538;13.186670999999999;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_1477__L_LMGN;SEQ_1477__L_LMGN;['IT_2538'];['SEQ_1477__L_LMGN'];41.502575;13.150433;IT;None;{'nuts_id_1': 'ITI', 'nuts_id_2': 'ITI4', 'nuts_id_3': 'ITI44'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_18_p;None;['SEQ_18_p'];['SEQ_18_p'];42.210390000000004;13.913;IT;None;{'nuts_id_1': 'ITF', 'nuts_id_2': 'ITF1', 'nuts_id_3': 'ITF13'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
