id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0', 'EntsoG_Map_Stor_EU_97'];['INET_N_0'];47.96201;13.356613000000001;AT;Storage Capacity connected to Germany and Austria;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 14.234480837472395, 'max_cap_store2pipe_M_m3_per_d': 21.35172125620859, 'max_cushionGas_M_m3': 413.38655462184875, 'max_power_MW': 8.869195402298855, 'max_storage_pressure_bar': 120.25, 'max_workingGas_M_m3': 1708.0497247189528, 'min_storage_pressure_bar': 57.470588235294116, 'num_storage_wells': 18.991150442477878, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323', 'start_year': 2011};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1579.6791045830093, 'max_power_MW': 24.051871317214957, 'max_storage_pressure_bar': 58.56320754716981, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.062698961937716, 'num_storage_wells': 39.814237606703706, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1', 'LKD_809032'];['INET_N_20'];47.98197800000001;13.312084;AT;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.1964705771917463, 'max_cap_store2pipe_M_m3_per_d': 1.1964705771917463, 'max_cushionGas_M_m3': 413.38655462184875, 'max_power_MW': 8.869195402298855, 'max_storage_pressure_bar': 120.25, 'max_workingGas_M_m3': 129.32439326999025, 'min_storage_pressure_bar': 57.470588235294116, 'num_storage_wells': 18.991150442477878, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323', 'start_year': 2011};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1579.6791045830093, 'max_power_MW': 24.051871317214957, 'max_storage_pressure_bar': 58.56320754716981, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.062698961937716, 'num_storage_wells': 39.814237606703706, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_2;Aldbrough1;['INET_SR_2', 'EntsoG_Map_Stor_EU_58'];['INET_N_27'];53.813894999999995;-0.087273;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 27.36046687548773, 'max_cap_store2pipe_M_m3_per_d': 30.087715985263035, 'max_cushionGas_M_m3': 6945.0, 'max_power_MW': 3.4, 'max_storage_pressure_bar': 259.0, 'max_workingGas_M_m3': 183.15677166584538, 'min_storage_pressure_bar': 147.0, 'num_storage_wells': 30, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'nuts_id_3': 'UKE12', 'start_year': 2009};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_6;Allmenhausen;['INET_SR_6', 'IGU_SR_7'];['INET_N_38'];51.219587;10.702463999999999;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.234552108008367, 'max_cap_store2pipe_M_m3_per_d': 1.4516003326223395, 'max_cushionGas_M_m3': 236.0, 'max_power_MW': 12.418951221140587, 'max_storage_pressure_bar': 36.0, 'max_workingGas_M_m3': 60.52733508146482, 'min_storage_pressure_bar': 8.200945062501301, 'num_storage_wells': 10, 'nuts_id_1': 'DEG', 'nuts_id_2': 'DEG0', 'nuts_id_3': 'DEG09', 'start_year': 1996};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 4.017038745397664, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 9.788491364276295, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 14.32408913436779, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, Pipe_diameter_mm)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'Lasso(max_workingGas_M_m3, Pipe_diameter_mm)', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso(max_storage_pressure_bar, Pipe_diameter_mm)', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_8;Atwick;['INET_SR_8', 'GIE_SR_103'];['INET_N_90'];53.946568000000006;-0.20752800000000002;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 12.25605732, 'max_cap_store2pipe_M_m3_per_d': 2.82832092, 'max_cushionGas_M_m3': 413.38655462184875, 'max_power_MW': 8.869195402298855, 'max_storage_pressure_bar': 120.25, 'max_workingGas_M_m3': 229.96868299847245, 'min_storage_pressure_bar': 57.470588235294116, 'num_storage_wells': 18.991150442477878, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'nuts_id_3': 'UKE12', 'start_year': None};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 1579.6791045830093, 'max_power_MW': 24.051871317214957, 'max_storage_pressure_bar': 58.56320754716981, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.062698961937716, 'num_storage_wells': 39.814237606703706, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': None};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': None};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9', 'LKD_815048'];['LKD_N_423'];51.41773900000001;11.827835;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 47.23484491128, 'max_cap_store2pipe_M_m3_per_d': 32.27868388632, 'max_cushionGas_M_m3': 121.0, 'max_power_MW': 20.0, 'max_storage_pressure_bar': 150.0, 'max_workingGas_M_m3': 23.477, 'min_storage_pressure_bar': 15.0, 'num_storage_wells': 18, 'nuts_id_1': 'DEE', 'nuts_id_2': 'DEE0', 'nuts_id_3': 'DEE0B', 'start_year': 1975};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_11;Balaceanca;['INET_SR_11', 'IGU_SR_80'];['INET_N_126'];44.389969;26.310924;RO;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 7.26679924088518, 'max_cap_store2pipe_M_m3_per_d': 9.524318556971117, 'max_cushionGas_M_m3': 50.0, 'max_power_MW': 3.95, 'max_storage_pressure_bar': 60.0, 'max_workingGas_M_m3': 47.56850302114539, 'min_storage_pressure_bar': 30.0, 'num_storage_wells': 16, 'nuts_id_1': 'RO3', 'nuts_id_2': 'RO31', 'nuts_id_3': 'RO322', 'start_year': 1992};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 11.78184415827171, 'max_cap_store2pipe_M_m3_per_d': 13.575964247285164, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_12;Banatski Dvor;['INET_SR_12', 'EntsoG_Map_Stor_EU_11'];['INET_N_137'];45.537223;20.47481;RS;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.3870674427854586, 'max_cap_store2pipe_M_m3_per_d': 4.838667775407798, 'max_cushionGas_M_m3': 413.38655462184875, 'max_power_MW': 8.869195402298855, 'max_storage_pressure_bar': 120.25, 'max_workingGas_M_m3': 435.4800997867019, 'min_storage_pressure_bar': 57.470588235294116, 'num_storage_wells': 18.991150442477878, 'nuts_id_1': 'RS1', 'nuts_id_2': 'RS12', 'nuts_id_3': 'RS126', 'start_year': 2011};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 1579.6791045830093, 'max_power_MW': 24.051871317214957, 'max_storage_pressure_bar': 58.56320754716981, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 24.062698961937716, 'num_storage_wells': 39.814237606703706, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Median(max_cushionGas_M_m3)', 'max_power_MW': 'Median(max_power_MW)', 'max_storage_pressure_bar': 'Median(max_storage_pressure_bar)', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Median(min_storage_pressure_bar)', 'num_storage_wells': 'Median(num_storage_wells)', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_14;Berlin;['INET_SR_14', 'IGU_SR_9'];['INET_N_172'];52.513276;13.224641;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.8152248875099914, 'max_cap_store2pipe_M_m3_per_d': 5.269749086307765, 'max_cushionGas_M_m3': 305.0, 'max_power_MW': 6.7, 'max_storage_pressure_bar': 128.0, 'max_workingGas_M_m3': 146.47966992825425, 'min_storage_pressure_bar': 60.0, 'num_storage_wells': 14, 'nuts_id_1': 'DE4', 'nuts_id_2': 'DE40', 'nuts_id_3': 'DE300', 'start_year': 1992};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0.0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
INET_SR_15;Bernburg;['INET_SR_15', 'EntsoG_Map_Stor_EU_114'];['LKD_N_430'];51.750252;11.759217;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 12.672, 'max_cap_store2pipe_M_m3_per_d': 36.72, 'max_cushionGas_M_m3': 116.0, 'max_power_MW': 15.0, 'max_storage_pressure_bar': 100.0, 'max_workingGas_M_m3': 876.0, 'min_storage_pressure_bar': 10.0, 'num_storage_wells': 27, 'nuts_id_1': 'DEE', 'nuts_id_2': 'DEE0', 'nuts_id_3': 'DEE0C', 'start_year': 1974};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 0, 'num_storage_wells': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'num_storage_wells': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'raw', 'start_year': 'raw'};{}
