id,facility_id,year,material,commodity,value_tonnes,grade_ppm,recovery_rate,yield_ppm,amount_sold_tonnes,metal_payable_tonnes,mine_processing,reporting_period,source_id,comment,id_minerals
1,COM00001.00,2013,O.bulk,Me.Ag,37.403,23.01,0.001889,,,,,,det_2964,,2
2,COM00001.00,2013,O.bulk,Me.Au,3.284,2.02,0.245074,,,,,,det_2964,,2
3,COM00001.00,2013,O.bulk,Me.Cu,30072.342,18500,0,,,,,,det_2964,,2
4,COM00001.00,2013,O.bulk,Me.Zn,61932.769,38100,0,,,,,,det_2964,,2
5,COM00001.00,2014,O.bulk,Me.Ag,31.209,21.48,0.002167,,,,,,det_2965,,4
6,COM00001.00,2014,O.bulk,Me.Au,2.499,1.72,0.338021,,,,,,det_2965,,4
7,COM00001.00,2014,O.bulk,Me.Cu,27751.02,19100,0,,,,,,det_2965,,4
8,COM00001.00,2014,O.bulk,Me.Zn,44314.457,30500,0,,,,,,det_2965,,4
9,COM00001.00,2015,O.bulk,Me.Ag,23.985,19.42,0.002652,,,,,,det_2965,,6
10,COM00001.00,2015,O.bulk,Me.Au,1.951,1.58,0.400577,,,,,,det_2965,,6
11,COM00001.00,2015,O.bulk,Me.Cu,24577.555,19900,0,,,,,,det_2965,,6
12,COM00001.00,2015,O.bulk,Me.Zn,37545.611,30400,0,,,,,,det_2965,,6
13,COM00001.00,2016,O.bulk,Me.Ag,27.696,21.34,0.002196,,,,,,det_2966,,8
14,COM00001.00,2016,O.bulk,Me.Au,1.973,1.52,0.432825,,,,,,det_2966,,8
15,COM00001.00,2016,O.bulk,Me.Cu,20375.915,15700,0,,,,,,det_2966,,8
16,COM00001.00,2016,O.bulk,Me.Zn,45034.666,34700,0,,,,,,det_2966,,8
17,COM00001.00,2017,O.bulk,Me.Ag,27.986,27.59,0.001314,,,,,,det_2966,,10
18,COM00001.00,2017,O.bulk,Me.Au,2.14,2.11,0.224613,,,,,,det_2966,,10
19,COM00001.00,2017,O.bulk,Me.Cu,16737.088,16500,0,,,,,,det_2966,,10
20,COM00001.00,2017,O.bulk,Me.Zn,52442.877,51700,0,,,,,,det_2966,,10
21,COM00001.00,2018,O.bulk,Me.Ag,27.393,28.34,0.001245,,,,,,det_2967,,12
22,COM00001.00,2018,O.bulk,Me.Au,1.769,1.83,0.298606,,,,,,det_2967,,12
23,COM00001.00,2018,O.bulk,Me.Cu,14208.535,14700,0,,,,,,det_2967,,12
24,COM00001.00,2018,O.bulk,Me.Zn,42818.918,44300,0,,,,,,det_2967,,12
25,COM00001.00,2019,O.bulk,Me.Ag,20.72,18.67,0.002869,,,,,,det_2967,,14
26,COM00001.00,2019,O.bulk,Me.Au,1.787,1.61,0.385788,,,,,,det_2967,,14
27,COM00001.00,2019,O.bulk,Me.Cu,15204.013,13700,0,,,,,,det_2967,,14
28,COM00001.00,2019,O.bulk,Me.Zn,35734.98,32200,0,,,,,,det_2967,,14
29,COM00004.00,2008,O.Cu,Me.Ag,18.268,41.9,5.7e-4,,,,,,det_2968,,32
30,COM00004.00,2008,O.Cu,Me.Au,1.648,3.78,0.069987,,,,,,det_2968,,32
31,COM00004.00,2008,O.Cu,Me.Cu,7412,17000,0,,,,,,det_2968,,32
32,COM00004.00,2008,O.Cu,Me.Zn,13908.4,31900,0,,,,,,det_2968,,32
33,COM00004.00,2009,O.Cu,Me.Ag,8.295,49.67,4.05e-4,,,,,,det_2969,,34
34,COM00004.00,2009,O.Cu,Me.Au,0.942,5.64,0.031437,,,,,,det_2969,,34
35,COM00004.00,2009,O.Cu,Me.Cu,2672,16000,0,,,,,,det_2969,,34
36,COM00004.00,2009,O.Cu,Me.Zn,7130.9,42700,0,,,,,,det_2969,,34
37,COM00004.00,2010,O.Cu,Me.Ag,17.363,37.34,7.17e-4,,,,,,det_2969,,36
38,COM00004.00,2010,O.Cu,Me.Au,1.614,3.47,0.08305,,,,,,det_2969,,36
39,COM00004.00,2010,O.Cu,Me.Cu,8044.5,17300,0,,,,,,det_2969,,36
40,COM00004.00,2010,O.Cu,Me.Zn,13066.5,28100,0,,,,,,det_2969,,36
41,COM00004.00,2011,O.Cu,Me.Ag,16.974,34.57,8.37e-4,,,,,,det_2970,,38
42,COM00004.00,2011,O.Cu,Me.Au,1.586,3.23,0.095851,,,,,,det_2970,,38
43,COM00004.00,2011,O.Cu,Me.Cu,6530.3,13300,0,,,,,,det_2970,,38
