material_id,material_name,material_category,material_category_2,material_id_agg,material_name_agg,materials_contained
O.Al,Bauxite,mineral,metal ore,,,
O.Be,Beryl,mineral,metal ore,,,
O.bulk,Bulk metal ore,mineral,metal ore,,,
O.Cr,Chromium ore,mineral,metal ore,,,
O.Co,Cobalt ore,mineral,metal ore,,,
O.NbTa,Coltan,mineral,metal ore,,,
O.Nb,"Columbite, niobium ore",mineral,metal ore,,,
O.Cu,Copper dominant ore,mineral,metal ore,,,
O.Fe,Ferrous ore,mineral,metal ore,,,
O.Au,Gold dominant ore,mineral,metal ore,,,
O.FeTiO3,Ilmenite,mineral,metal ore,,,
O.Pb,Lead dominant ore,mineral,metal ore,,,
O.leu,Leucoxene,mineral,metal ore,,,
O.Li,Lithium ore,mineral,metal ore,,,
O.MgCO3,Magnesite,mineral,metal ore,,,
O.Mn,Manganese ore,mineral,metal ore,,,
O.Mo,Molybdenum ore,mineral,metal ore,,,
O.CeLaPO4,Monazite,mineral,metal ore,,,
O.Ni,Nickel dominant ore,mineral,metal ore,,,
O.oxi,Oxide ore,mineral,metal ore,,,
O.pgm,Platinum-group metal ore,mineral,metal ore,,,
O.K2O,Potash,mineral,metal ore,,,
O.rem,Rare-earth mineral,mineral,metal ore,,,
O.TiO2,Rutile,mineral,metal ore,,,
O.Ag,Silver dominant ore,mineral,metal ore,,,
O.Sr,Strontium mineral,mineral,metal ore,,,
O.sul,Sulphide ore,mineral,metal ore,,,
O.Ta,"Tantalite, tantalum ore",mineral,metal ore,,,
O.Sn,Tin dominant ore,mineral,metal ore,,,
O.Ti,Titanium ore,mineral,metal ore,,,
O.W,Tungsten ore,mineral,metal ore,,,
O.U,Uranium ore,mineral,metal ore,,,
O.Zn,Zinc dominant ore,mineral,metal ore,,,
O.Zr,Zircon,mineral,metal ore,,,
M.abr,"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)",mineral,non-metallic mineral,,,
M.amb,Amber,mineral,non-metallic mineral,,,
M.asb,Asbestos,mineral,non-metallic mineral,,,
M.asp,Asphalt,mineral,non-metallic mineral,,,
M.bac,Ball clay,mineral,non-metallic mineral,,,
M.bar,Barite,mineral,non-metallic mineral,,,
M.ben,"Bentonite, sepiolite and attapulgite",mineral,non-metallic mineral,,,
M.bor,Borate minerals,mineral,non-metallic mineral,,,
M.brs,Brine salt,mineral,non-metallic mineral,,,
M.bro,Bromine,mineral,non-metallic mineral,,,
M.cal,Calcite,mineral,non-metallic mineral,,,
M.cha,Chalk,mineral,non-metallic mineral,,,
M.chf,Chert and flint,mineral,non-metallic mineral,,,
M.coc,"Common clay, clay for bricks etc.",mineral,non-metallic mineral,,,
M.con,Construction Minerals nec,mineral,non-metallic mineral,,,
M.crs,Crushed stone,mineral,non-metallic mineral,,,
M.dia,Diatomite,mineral,non-metallic mineral,,,
M.dim,Dimension stone n.e.c.,mineral,non-metallic mineral,,,
M.dol,Dolomite,mineral,non-metallic mineral,,,
M.evs,Evaporated salt,mineral,non-metallic mineral,,,
M.fel,Feldspar,mineral,non-metallic mineral,,,
M.fic,"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite",mineral,non-metallic mineral,,,
M.flu,Fluorspar,mineral,non-metallic mineral,,,
M.fue,Fuller's earth,mineral,non-metallic mineral,,,
M.glu,Gluesand,mineral,non-metallic mineral,,,
M.gra,"Graphite, natural",mineral,non-metallic mineral,,,
M.gya,Gypsum and anhydrite,mineral,non-metallic mineral,,,
M.ign,"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)",mineral,non-metallic mineral,,,
M.ill,Illite,mineral,non-metallic mineral,,,
M.ins,Industrial sand,mineral,non-metallic mineral,,,
M.iod,Iodine,mineral,non-metallic mineral,,,
M.irp,Iron ore for pigments,mineral,non-metallic mineral,,,
M.kao,Kaolin,mineral,non-metallic mineral,,,
M.lat,Laterite,mineral,non-metallic mineral,,,
M.lav,Lavasand,mineral,non-metallic mineral,,,
M.lim,Limestone,mineral,non-metallic mineral,,,
M.loa,Loam,mineral,non-metallic mineral,,,
M.mag,Magnesite,mineral,non-metallic mineral,,,
M.mat,"Marble, travertines etc.",mineral,non-metallic mineral,,,
M.mas,Marl and shell,mineral,non-metallic mineral,,,
M.mic,Mica,mineral,non-metallic mineral,,,
M.och,Ochre and pigment earths,mineral,non-metallic mineral,,,
M.onm,Other non-metallic minerals n.e.c.,mineral,non-metallic mineral,,,
M.orn,Ornamental stone,mineral,non-metallic mineral,,,
M.pea,Peat for agricultural use,mineral,non-metallic mineral,,,
M.peg,Pegmatite sand,mineral,non-metallic mineral,,,
M.per,Perlite,mineral,non-metallic mineral,,,
M.poc,Potter clay,mineral,non-metallic mineral,,,
M.qar,Qartz and quartzite,mineral,non-metallic mineral,,,
M.ros,Rock salt,mineral,non-metallic mineral,,,
M.sal,Salt nec,mineral,non-metallic mineral,,,
M.sag,Sand and gravel,mineral,non-metallic mineral,,,
M.sas,Sandstone,mineral,non-metallic mineral,,,
M.ses,Sea salt,mineral,non-metallic mineral,,,
M.SiO2,Silica Sand,mineral,non-metallic mineral,,,
M.osm,Silicate minerals n.e.c.,mineral,non-metallic mineral,,,
M.sil,Siliceous earth,mineral,non-metallic mineral,,,
M.slc,Slate clay,mineral,non-metallic mineral,,,
M.sla,Slate including fill (incl. roof slate),mineral,non-metallic mineral,,,
M.soc,"Sodium carbonate, natural",mineral,non-metallic mineral,,,
M.spc,Special clay,mineral,non-metallic mineral,,,
M.sto,Stone n.e.c.,mineral,non-metallic mineral,,,
M.tal,"Talc (steatite, soapstone, pyrophyllite)",mineral,non-metallic mineral,,,
M.tas,Talcous slate,mineral,non-metallic mineral,,,
M.tur,Turfaceous rock,mineral,non-metallic mineral,,,
M.ver,Vermiculite,mineral,non-metallic mineral,,,
M.wol,Wollastonite,mineral,non-metallic mineral,,,
O.dig,"Diamond ore, gems",mineral,non-metallic mineral ore,O.dia,Diamond ore (unspecified),
O.dii,"Diamond ore, industrial",mineral,non-metallic mineral ore,O.dia,Diamond ore (unspecified),
O.flu,Fluorspar ore,mineral,non-metallic mineral ore,,,
O.gem,Gemstone-bearing mineral ore,mineral,non-metallic mineral ore,,,
O.nep,Nepheline syenite,mineral,non-metallic mineral ore,,,
O.P,Phosphate rock,mineral,non-metallic mineral ore,,,
O.FeS,Pyrite,mineral,non-metallic mineral ore,,,
O.S,Sulphur ore,mineral,non-metallic mineral ore,,,
Me.Al2O3,Alumina,commodity,metal compound,,,
Me.Al,Aluminium,commodity,metal,,,
Me.AlF3,Aluminium fluoride,commodity,metal compound,,,
Me.Sb,Antimony,commodity,metal,,,
Me.As,Arsenic,commodity,metal,,,
Me.As2O3,Arsenic(III) oxide,commodity,metal compound,,,
Me.AsCu,Arsenical copper,commodity,metal compound,,,
Me.Be,Beryllium,commodity,metal,,,
Me.Bi,Bismuth,commodity,metal,,,
Me.H3BO3,Boric Acid,commodity,metal compound,,,
Me.Cd,Cadmium,commodity,metal,,,
Me.Cs,Caesium,commodity,metal,,,
Me.Ca,Calcium,commodity,metal,,,
Me.CaCO3,Calcium carbonate,commodity,metal compound,,,
Me.CaO,Calcium oxide,commodity,metal compound,,,
Me.CaSO4,Calcium sulphate,commodity,metal compound,Me.SO4_nec,Sulphates,
Me.Cr,Chromium,commodity,metal,,,
Me.Cr2O3,Chromium(III) oxide,commodity,metal compound,,,
Me.Co,Cobalt,commodity,metal,,,
Me.Cu,Copper,commodity,metal,,,
Me.CuO,Copper oxide,commodity,metal compound,,,
Me.Ga,Gallium,commodity,metal,,,
Me.Ge,Germanium,commodity,metal,,,
Me.Au,Gold,commodity,metal,,,
Me.Hf,Hafnium,commodity,metal,,,
Me.In,Indium,commodity,metal,,,
Me.Fe,Iron,commodity,metal,,,
Me.Pb,Lead,commodity,metal,,,
Me.PbO,Lead oxide,commodity,metal compound,,,
Me.Li,Lithium,commodity,metal,,,
Me.Li2CO3,Lithium carbonate,commodity,metal compound,,,
Me.LiOH,Lithium hydroxide,commodity,metal compound,,,
Me.Li2O,Lithium oxide,commodity,metal compound,,,
Me.lic,Lithium compound n.e.c.,commodity,metal compound,,,
Me.Mg,Magnesium,commodity,metal,,,
Me.MgO,Magnesium oxide,commodity,metal compound,,,
Me.MgSO4,Magnesium sulphate,commodity,metal compound,Me.SO4_nec,Sulphates,
Me.Mn,Manganese,commodity,metal,,,
Me.Hg,Mercury,commodity,metal,,,
Me.Mo,Molybdenum,commodity,metal,,,
Me.Ni,Nickel,commodity,metal,,,
Me.Nb,Niobium,commodity,metal,,,
Me.Nb2O5,Niobium pentoxide,commodity,metal compound,,,
Me.KCl,Potassium chloride,commodity,metal compound,,,
Me.K2O,Potassium oxide,commodity,metal compound,,,
Me.K2SO4,Potassium sulphate,commodity,metal compound,Me.SO4_nec,Sulphates,
Me.NaHCO3,Sodium bicarbonate,commodity,metal compound,,,
Me.Ir,Iridium,commodity,metal,Me.pgm,PGM,
Me.Os,Osmium,commodity,metal,Me.pgm,PGM,
Me.Pd,Palladium,commodity,metal,Me.pgm,PGM,
Me.Pt,Platinum,commodity,metal,Me.pgm,PGM,
Me.Rh,Rhodium,commodity,metal,Me.pgm,PGM,
Me.Ru,Ruthenium,commodity,metal,Me.pgm,PGM,
Me.Ce,Cerium,commodity,metal,Me.rem,Rare-earth metals,
Me.Ce2O3,Cerium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Dy,Dysprosium,commodity,metal,Me.rem,Rare-earth metals,
Me.Dy2O3,Dysprosium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Er,Erbium,commodity,metal,Me.rem,Rare-earth metals,
Me.Er2O3,Erbium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Eu,Europium,commodity,metal,Me.rem,Rare-earth metals,
Me.Eu2O3,Europium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Gd,Gadolinium,commodity,metal,Me.rem,Rare-earth metals,
Me.Gd2O3,Gadolinium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Ho,Holmium,commodity,metal,Me.rem,Rare-earth metals,
Me.Ho2O3,Holmium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.La,Lanthanum,commodity,metal,Me.rem,Rare-earth metals,
