id,facility_id,year,type,material,value_tonnes,overall_grade_ppm,amount_sold_tonnes,mine_processing,reporting_period,source_id,comment
1,COM00001.00,2013,Ore mined,O.bulk,1625532,,,,,det_1729,
2,COM00001.00,2013,Ore processed,O.bulk,1625532,,,,,det_1729,
3,COM00001.00,2014,Ore mined,O.bulk,1452933,,,,,det_1729,
4,COM00001.00,2014,Ore processed,O.bulk,1452933,,,,,det_1729,
5,COM00001.00,2015,Ore mined,O.bulk,1235053,,,,,det_1730,
6,COM00001.00,2015,Ore processed,O.bulk,1235053,,,,,det_1730,
7,COM00001.00,2016,Ore mined,O.bulk,1297829,,,,,det_1731,
8,COM00001.00,2016,Ore processed,O.bulk,1297829,,,,,det_1731,
9,COM00001.00,2017,Ore mined,O.bulk,1014369,,,,,det_1731,
10,COM00001.00,2017,Ore processed,O.bulk,1014369,,,,,det_1731,
11,COM00001.00,2018,Ore mined,O.bulk,966567,,,,,det_1732,
12,COM00001.00,2018,Ore processed,O.bulk,966567,,,,,det_1732,
13,COM00001.00,2019,Ore mined,O.bulk,1109782,,,,,det_1732,
14,COM00001.00,2019,Ore processed,O.bulk,1109782,,,,,det_1732,
15,COM00002.00,2012,Ore mined,O.Fe,1000000,,,,April-March,det_2013,
16,COM00002.00,2012,Ore processed,O.Fe,1000000,,,,April-March,det_2013,
17,COM00002.00,2013,Ore mined,O.Fe,0,,,,April-March,det_2013,
18,COM00002.00,2013,Ore processed,O.Fe,0,,,,April-March,det_2013,
19,COM00002.00,2014,Ore mined,O.Fe,1500000,,,,April-March,det_1309,
20,COM00002.00,2014,Ore processed,O.Fe,1500000,,,,April-March,det_1309,
21,COM00002.00,2015,Ore mined,O.Fe,600000,,,,April-March,det_1309,
22,COM00002.00,2015,Ore processed,O.Fe,600000,,,,April-March,det_1309,
23,COM00002.00,2016,Ore mined,O.Fe,3000000,,,,April-March,det_1309,
24,COM00002.00,2016,Ore processed,O.Fe,3000000,,,,April-March,det_1309,
25,COM00002.00,2017,Ore mined,O.Fe,2100000,,,,April-March,det_1307,
26,COM00002.00,2017,Ore processed,O.Fe,2100000,,,,April-March,det_1307,
27,COM00002.00,2018,Ore mined,O.Fe,2200000,,,,April-March,det_1307,
28,COM00002.00,2018,Ore processed,O.Fe,2200000,,,,April-March,det_1307,
29,COM00002.00,2019,Ore mined,O.Fe,4120000,,,,April-March,det_1307,
30,COM00002.00,2019,Ore processed,O.Fe,4120000,,,,April-March,det_1307,
31,COM00004.00,2008,Ore mined,O.Cu,436000,,,,,det_1736,
32,COM00004.00,2008,Ore processed,O.Cu,436000,,,,,det_1736,
33,COM00004.00,2009,Ore mined,O.Cu,167000,,,,,det_1735,
34,COM00004.00,2009,Ore processed,O.Cu,167000,,,,,det_1735,
35,COM00004.00,2010,Ore mined,O.Cu,465000,,,,,det_1735,
36,COM00004.00,2010,Ore processed,O.Cu,465000,,,,,det_1735,
37,COM00004.00,2011,Ore mined,O.Cu,491000,,,,,det_1734,
38,COM00004.00,2011,Ore processed,O.Cu,491000,,,,,det_1734,
39,COM00004.00,2012,Ore mined,O.Cu,500000,,,,,det_1734,
40,COM00004.00,2012,Ore processed,O.Cu,500000,,,,,det_1734,
41,COM00004.00,2013,Ore mined,O.Cu,391000,,,,,det_1733,
