id,facility_id,year,owners,operators,source_id,comment
1,COM00001.00,2018,Hudbay Minerals Inc (100%),,det_2912,
2,COM00005.00,2019,Rusal Plc. (100%),,det_1277,
3,COM00006.00,2019,ArcelorMittal S.A. (100%),,det_1218,
4,COM00007.00,2018,AngloGold Ashanti (100%),,det_1057,
5,COM00009.00,2017,Newmont Mining Corporation (100%),,det_1595,
6,COM00016.00,2017,Newmont Mining Corporation (100%),,det_1595,
7,COM00017.00,2019,"Alcoa Corp. (25.1%), Ma’aden (74.9%)",,det_1270,
8,COM00022.00,2018,Rio Tinto (100%),,det_1065,
9,COM00026.00,2019,Rusal Plc. (85%),,det_1277,
10,COM00027.00,2018,Sibanye-Stillwater (100%),,det_1092,
11,COM00028.00,2019,Glencore plc. (100%),,det_2855,
12,COM00029.00,2015,"Rio Tinto (46.7%), sold on 31 December 2014",,det_1066,
13,COM00030.00,2018,Rio Tinto (10%),,det_1065,
14,COM00033.00,2018,Anglo American plc (78%),,det_1103,
15,COM00035.00,2019,Sherritt International Corp. (12%),,det_1432,
16,COM00041.00,2018,Codelco (100%),,det_1171,
17,COM00043.00,2019,ArcelorMittal S.A. (100%),,det_1218,
18,COM00048.00,2018,"Teck Resources Limited (22.5%), BHP Billiton plc (33.75%), Glencore plc (33.75%), Mitsubishi Corporation (10%)",Compañía Minera Antamina S.A.,det_2906,
19,COM00049.00,2019,Glencore plc. (100%),,det_2855,
20,COM00049.01,2003,BHP (100%),BHP,det_1139,
21,COM00050.00,2013,Compania de Minas Buenaventura S.A.A. (100%),Compania de Minas Buenaventura S.A.A.,det_1343,
22,COM00052.00,2018,Cloud Peak Energy Inc. (100%),,det_1077,
23,COM00054.00,2020,Antofagasta Plc. (70%),,det_2915,
24,COM00058.00,2019,ArcelorMittal S.A. (100%),,det_1218,
25,COM00059.00,2019,ArcelorMittal S.A. (100%),,det_1218,
26,COM00060.00,2019,ArcelorMittal S.A. (100%),,det_1218,
27,COM00062.00,2019,ArcelorMittal S.A. (100%),,det_1218,
28,COM00067.00,2018,Rio Tinto (100%),,det_1065,
29,COM00070.00,2018,Rio Tinto (100%),,det_1065,
30,COM00070.01,2018,Rio Tinto (100%),,det_1065,
31,COM00072.00,2020,"Zijin Mining Group Co., Ltd. (51%)",,det_2925,
32,COM00073.00,2019,ArcelorMittal S.A. (100%),,det_1218,
33,COM00074.00,2019,ArcelorMittal S.A. (100%),,det_1218,
34,COM00075.00,2019,Freeport-McMoRan Inc. (100%),,det_1167,
35,COM00076.00,2019,Rusal Plc. (100%),,det_1277,
36,COM00078.00,2018,MetInvest B.V. (100%),,det_1225,
37,COM00081.00,2018,MetInvest B.V. (100%),,det_1225,
38,COM00082.00,2019,Vale S.A. (100%),,det_1159,
39,COM00084.00,2019,Freeport-McMoRan Inc. (100%),,det_1167,
40,COM00087.00,2019,PT Adaro Energy TBK (75%),,det_1508,
41,COM00088.00,2018,Kinross Gold (100%),Kinross Gold,det_2904,
42,COM00092.00,2016,Anglo American plc (100%),,det_1105,
43,COM00093.00,2019,China Shenhua Energy Company Ltd. (56.61%),,det_1376,
44,COM00095.00,2019,China Shenhua Energy Company Ltd. (100%),,det_1376,
45,COM00096.00,2007,Peabody Energy Corp. (62.5%),,det_1392,
46,COM00099.00,2015,Rio Tinto (100%),Rio Tinto,det_1066,
47,COM00100.00,2018,Anglo American plc (100%),,det_1103,
48,COM00104.00,2015,Newmont Mining Corporation (48.50%),,det_1013,
49,COM00106.00,2019,Rusal Plc. (90%),,det_1277,
50,COM00108.00,2013,South32 (100%),,det_1136,
51,COM00109.00,2019,Peabody Energy Corp. (100%),,det_2144,
52,COM00110.00,2018,Sibanye-Stillwater (100%),,det_1092,
53,COM00112.00,2018,Rio Tinto (25.1%),,det_1065,
54,COM00114.00,2019,"African Rainbow Minerals Ltd. (50%), Assore Ltd. (50%)",Assmang Proprietary Ltd.,det_1265,
55,COM00117.00,2018,Rio Tinto (100%),,det_1065,
