id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
1,COM00005.00,Refinery,2008,"Nepheline ore, Limestone",,Alumina,1069000,,,,,,,det_1291,
2,COM00005.00,Refinery,2009,"Nepheline ore, Limestone",,Alumina,922000,,,,,,,det_1291,
3,COM00005.00,Refinery,2010,"Nepheline ore, Limestone",,Alumina,1000000,,,,,,,det_2008,
4,COM00005.00,Refinery,2011,"Nepheline ore, Limestone",,Alumina,977000,,,,,,,det_2008,
5,COM00005.00,Refinery,2012,"Nepheline ore, Limestone",,Alumina,945000,,,,,,,det_1303,
6,COM00005.00,Refinery,2013,"Nepheline ore, Limestone",,Alumina,926000,,,,,,,det_1303,
7,COM00005.00,Refinery,2014,"Nepheline ore, Limestone",,Alumina,891000,,,,,,,det_2007,
8,COM00005.00,Refinery,2015,"Nepheline ore, Limestone",,Alumina,880000,,,,,,,det_2007,
9,COM00005.00,Refinery,2016,"Nepheline ore, Limestone",,Alumina,916000,,,,,,,det_1284,
10,COM00005.00,Refinery,2017,"Nepheline ore, Limestone",,Alumina,945000,,,,,,,det_1284,
11,COM00005.00,Refinery,2018,"Nepheline ore, Limestone",,Alumina,851000,,,,,,,det_1277,
12,COM00005.00,Refinery,2019,"Nepheline ore, Limestone",,Alumina,823000,,,,,,,det_1277,
13,COM00006.00,Smelter,2008,,,Crude steel,1400000,,,,,,,det_1925,
14,COM00006.00,Smelter,2009,,,Crude steel,1000000,,,,,,,det_1924,
15,COM00006.00,Smelter,2010,,,Crude steel,1300000,,,,,,,det_1823,
16,COM00006.00,Smelter,2011,,,Crude steel,1400000,,,,,,,det_1923,
17,COM00006.00,Smelter,2012,,,Crude steel,1400000,,,,,,,det_1922,
18,COM00006.00,Smelter,2013,,,Crude steel,1400000,,,,,,,det_1220,
19,COM00006.00,Smelter,2014,,,Crude steel,1400000,,,,,,,det_1221,
20,COM00006.00,Smelter,2015,,,Crude steel,1400000,,,,,,,det_1921,
21,COM00006.00,Smelter,2016,,,Crude steel,1000000,,,,,,,det_1920,
22,COM00006.00,Smelter,2017,,,Crude steel,1100000,,,,,,,det_1919,
23,COM00006.00,Smelter,2018,,,Crude steel,1400000,,,,,,,det_1918,
24,COM00006.00,Smelter,2019,,,Crude steel,1100000,,,,,,,det_1218,
25,COM00010.00,Smelter,2011,,,Liquid steel,3806000,,,,,,,det_2817,
26,COM00010.00,Smelter,2012,,,Liquid steel,3880000,,,,,,,det_2817,
27,COM00010.00,Smelter,2013,,,Liquid steel,4155999.9999999995,,,,,,,det_2817,
28,COM00010.00,Smelter,2014,,,Liquid steel,4422000,,,,,,,det_2817,
29,COM00010.00,Refinery,2015,Liquid steel,,Coated steel products,136000,,,,,,,det_2087,
30,COM00010.00,Refinery,2015,Coking coal,,Coke,1372000,,,,,,,det_2087,
31,COM00010.00,Refinery,2015,Liquid steel,,Flat steel products,3347000,,,,,,,det_2087,
32,COM00010.00,Refinery,2015,Iron ore concentrate,,Iron ore pellets,4700000,,,,,,,det_2087,
33,COM00010.00,Refinery,2015,Liquid steel,,Other finished steel products,68000,,,,,,,det_2087,
34,COM00010.00,Refinery,2015,Liquid steel,,Structural steel profiles and non-flat steel products,291000,,,,,,,det_2087,
35,COM00010.00,Smelter,2015,Pig Iron,,Liquid steel,4460000,,,,,,,det_2087,
36,COM00010.00,Smelter,2015,Scrap Iron,,Liquid steel,436000,,,,,,,det_2087,
37,COM00010.00,Smelter,2015,Iron ore pellets,,Pig Iron,3640000,,,,,,,det_2087,
38,COM00010.00,Refinery,2016,Liquid steel,,Coated steel products,147000,,,,,,,det_1371,
39,COM00010.00,Refinery,2016,Coking coal,,Coke,1262000,,,,,,,det_1371,
40,COM00010.00,Refinery,2016,Liquid steel,,Flat steel products,3612000,,,,,,,det_1371,
41,COM00010.00,Refinery,2016,Iron ore concentrate,,Iron ore pellets,4600000,,,,,,,det_1371,
42,COM00010.00,Refinery,2016,Liquid steel,,Other finished steel products,14000,,,,,,,det_1371,
43,COM00010.00,Refinery,2016,Liquid steel,,Structural steel profiles and non-flat steel products,398000,,,,,,,det_1371,
44,COM00010.00,Smelter,2016,Pig Iron,,Liquid steel,4650000,,,,,,,det_1371,
45,COM00010.00,Smelter,2016,Scrap Iron,,Liquid steel,670000,,,,,,,det_1371,
46,COM00010.00,Smelter,2016,Iron ore pellets,,Pig Iron,3690000,,,,,,,det_1371,
47,COM00010.00,Refinery,2017,Liquid steel,,Coated steel products,144000,,,,,,,det_1371,
48,COM00010.00,Refinery,2017,Coking coal,,Coke,1253000,,,,,,,det_1371,
49,COM00010.00,Refinery,2017,Liquid steel,,Flat steel products,3349000,,,,,,,det_1371,
50,COM00010.00,Refinery,2017,Iron ore concentrate,,Iron ore pellets,3700000,,,,,,,det_1371,
51,COM00010.00,Refinery,2017,Liquid steel,,Other finished steel products,10000,,,,,,,det_1371,
52,COM00010.00,Refinery,2017,Liquid steel,,Structural steel profiles and non-flat steel products,217000,,,,,,,det_1371,
53,COM00010.00,Smelter,2017,Pig Iron,,Liquid steel,4390000,,,,,,,det_1371,
54,COM00010.00,Smelter,2017,Scrap Iron,,Liquid steel,808000,,,,,,,det_1371,
55,COM00010.00,Smelter,2017,Iron ore pellets,,Pig Iron,3200000,,,,,,,det_1371,
56,COM00010.00,Refinery,2018,Liquid steel,,Coated steel products,154000,,,,,,,det_1371,
57,COM00010.00,Refinery,2018,Coking coal,,Coke,1180000,,,,,,,det_1371,
58,COM00010.00,Refinery,2018,Liquid steel,,Flat steel products,3446000,,,,,,,det_1371,
59,COM00010.00,Refinery,2018,Iron ore concentrate,,Iron ore pellets,4200000,,,,,,,det_1371,
60,COM00010.00,Refinery,2018,Liquid steel,,Other finished steel products,96000,,,,,,,det_1371,
61,COM00010.00,Refinery,2018,Liquid steel,,Structural steel profiles and non-flat steel products,183000,,,,,,,det_1371,
62,COM00010.00,Smelter,2018,Pig Iron,,Liquid steel,4520000,,,,,,,det_1371,
63,COM00010.00,Smelter,2018,Scrap Iron,,Liquid steel,577000,,,,,,,det_1371,
64,COM00010.00,Smelter,2018,Iron ore pellets,,Pig Iron,3510000,,,,,,,det_1371,
65,COM00019.00,Smelter,2005,Alumina,,Aluminium,446000,,,,,,,det_1166,
66,COM00019.00,Smelter,2006,Alumina,,Aluminium,456000,,,,,,,det_1166,
67,COM00019.00,Smelter,2007,Alumina,,Aluminium,455000,,,,,,,det_1166,
68,COM00022.00,Smelter,2008,,,Aluminium,424000,,,,,,,det_1068,
