id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
1,COM00001.00,2019,O.bulk,Me.Ag,3552000,,,det_2832,
2,COM00001.00,2019,O.bulk,Me.Au,3552000,,,det_2832,
3,COM00001.00,2019,O.bulk,Me.Cu,3552000,,,det_2832,
4,COM00001.00,2019,O.bulk,Me.Zn,3552000,,,det_2832,
5,COM00002.00,2019,O.Fe,Me.Fe,56300000,,,det_1307,
6,COM00003.00,2017,F.sbc,,25006968,,,det_1427,
7,COM00007.00,2018,O.Au,Me.Au,10730000,48.194189321,4.932516309412861,det_2833,
8,COM00007.00,2018,O.Au,Nm.S,8760000,370584.96629,42636.98630136986,det_2833,
9,COM00009.00,2019,O.Au,Me.Au,171000000,273.28940172,1.5949673814296959,det_2698,
10,COM00013.00,2018,O.bulk,Me.Ag,1148000000,,,det_1124,proven ; probable
11,COM00013.00,2018,O.bulk,Me.Au,1148000000,,,det_1124,proven ; probable
12,COM00013.00,2018,O.bulk,Me.Cu,1148000000,,,det_1124,proven ; probable
13,COM00015.00,2019,O.bulk,Me.Cu,1399000000,,,det_2834,
14,COM00015.00,2019,O.bulk,Me.Mo,1399000000,,,det_2834,
15,COM00016.00,2019,O.Au,Me.Au,60800000,73.14176934,1.2160453342605264,det_2698,
16,COM00017.00,2019,O.Al,Me.Al2O3,188724510.19592163,,,det_1270,30.9 (probable) + 16.3 (proven)
17,COM00017.00,2019,O.Al,Nm.SiO2,188724510.19592163,,,det_1270,30.9 (probable) + 16.3 (proven)
18,COM00024.00,2018,O.bulk,Me.Ag,2500000,,,det_1374,
19,COM00024.00,2018,O.bulk,Me.Cu,2500000,,,det_1374,
20,COM00024.00,2018,O.bulk,Me.Pb,2500000,,,det_1374,
21,COM00024.00,2018,O.bulk,Me.Zn,2500000,,,det_1374,
22,COM00033.00,2018,O.pgm,Me.pgm,103500000,428.07779926300003,4.54,det_1103,
23,COM00035.00,2019,M.lat,Me.Co,124500000,99600,800,det_1432,
24,COM00035.00,2019,M.lat,Me.Ni,124500000,1096000,8800,det_1432,
25,COM00041.00,2018,O.Cu,Me.Cu,1163000000,8000000,6899.999999999999,det_1171,
26,COM00048.00,2018,O.bulk,Me.Ag,489100000,,,det_1602,
27,COM00048.00,2018,O.bulk,Me.Cu,489100000,,,det_1602,
28,COM00048.00,2018,O.bulk,Me.Mo,279500000,,,det_1602,
29,COM00048.00,2018,O.bulk,Me.Zn,209600000,,,det_1602,
30,COM00050.00,2013,O.bulk,Me.Au,37547,,,det_1343,
31,COM00051.00,2019,O.bulk,Me.Au,600000,0.2438058978,0.4,det_2835,
32,COM00051.00,2019,O.bulk,Me.Cu,600000,5900,9000,det_2835,
33,COM00052.00,2018,F.coal,,428561280,,,det_1077,
34,COM00054.00,2019,O.Cu,Me.Cu,687000000,,,det_1173,
35,COM00055.00,2020,F.coal,,198000000,,,det_1489,
36,COM00056.00,2013,O.P,Nm.PO,132100000,,,det_1162,
37,COM00066.00,2010,F.coal,,13426560,,,det_1409,
38,COM00067.00,2017,O.dig,Nm.dia,16000000,,,det_1065,
39,COM00072.00,2018,O.Cu,Me.Cu,,161181,31700,det_1332,
40,COM00082.00,2019,O.Mn,Me.Mn,13100000,,,det_1159,
41,COM00084.00,2019,O.bulk,Me.Ag,2510000000,,,det_1167,
42,COM00084.00,2019,O.bulk,Me.Cu,2535000000,,,det_1167,
43,COM00084.00,2019,O.bulk,Me.Mo,2510000000,,,det_1167,
44,COM00086.00,2019,O.Au,Me.Au,32700000,19.759617531000004,0.6688379204892967,det_2791,
45,COM00087.00,2019,F.coal,,135000000,,,det_1508,
46,COM00088.00,2007,O.Au,Me.Au,128093000,86.72119085700001,0.6803885551200001,det_1041,
47,COM00088.00,2018,O.Au,Me.Au,66650000,38.186807481,0.6,det_2836,
48,COM00092.00,2014,O.Nb,Me.Nb,1100000,,,det_1114,
49,COM00093.00,2019,F.coal,,1150000000,,,det_1376,under PRC standard
50,COM00095.00,2019,F.coal,,30000000,,,det_1376,under PRC standard
51,COM00100.00,2018,O.Ni,Me.Ni,52000000,682000,13100,det_1103,
52,COM00104.00,2015,O.bulk,Me.Ag,658350515.4639175,523.7355176907217,0.8058260943560288,det_1013,
53,COM00104.00,2015,O.bulk,Me.Au,658350515.4639175,156.06850806185568,0.22834994844361725,det_1013,
54,COM00104.00,2015,O.bulk,Me.Cu,658350515.4639175,2440981.62,,det_1013,
55,COM00107.00,2013,O.P,Nm.PO,415900000,,,det_1162,
56,COM00109.00,2019,F.stc,,212284800,,,det_2144,
57,COM00110.00,2018,O.Au,Me.Au,14300000,34.8699134499,2.676223776223776,det_1093,
58,COM00113.00,2019,F.coc,,23133600,,,det_1399,
59,COM00114.00,2019,O.Fe,Me.Fe,44870000,,,det_1265,
60,COM00118.00,2018,F.obc,,5670907.2,,,det_1431,
61,COM00122.00,2019,O.Mn,Me.Mn,12130000,,,det_2044,
62,COM00128.00,2017,F.lig,,4570473.600000001,,,det_1427,
63,COM00130.00,2005,O.Au,Me.Au,4300000,2.8349523130000005,0.8504856939000002,det_2837,
64,COM00133.00,2018,O.bulk,Me.Ag,619000000,,,det_1065,
65,COM00133.00,2018,O.bulk,Me.Au,619000000,,,det_1065,
66,COM00133.00,2018,O.bulk,Me.Cu,619000000,,,det_1065,
67,COM00133.00,2018,O.bulk,Me.Mo,619000000,,,det_1065,
68,COM00134.00,2019,F.coal,,77000000,,,det_1515,
69,COM00135.00,2010,F.coal,,6985440,,,det_1406,
70,COM00139.00,2009,O.bulk,Me.Cu,7700000,,,det_2838,
71,COM00139.00,2009,O.bulk,Me.Pb,7700000,,,det_2838,
72,COM00139.00,2009,O.bulk,Me.Zn,7700000,,,det_2838,
73,COM00139.00,2019,O.bulk,Me.Ag,7700000,,,det_1307,
74,COM00139.00,2019,O.bulk,Me.Pb,61400000,,,det_1307,
75,COM00139.00,2019,O.bulk,Me.Zn,61400000,,,det_1307,
76,COM00140.00,2019,O.Mn,Me.Mn,292900000,,,det_1265,
77,COM00141.00,2019,F.stc,,678313440,,,det_1399,
78,COM00143.00,2019,F.coal,,419000000,,,det_1135,
79,COM00144.00,2020,F.stc,,24500000,,,det_1546,
80,COM00145.00,2018,O.Au,Me.Au,15300000,59.50564904987001,4.3,det_1093,
81,COM00150.00,2019,O.Al,Me.Al2O3,2540000,,,det_1307,
82,COM00150.00,2019,O.Al,Nm.SiO2,2540000,,,det_1307,
83,COM00151.00,2017,O.bulk,Me.Au,651000000,358.62146595,0.558934146503149,det_2839,
84,COM00151.00,2017,O.bulk,Me.Cu,651000000,607813.7758,,det_2839,
85,COM00153.00,2019,F.coal,,1700000000,,,det_1277,
86,COM00157.00,2019,O.bulk,Me.Ag,7925000,141.74761565,19,det_2129,
87,COM00157.00,2019,O.bulk,Me.Au,7925000,1.814369472,0.25,det_2129,
88,COM00157.00,2019,O.bulk,Me.Cu,7925000,68038.8555,8600,det_2129,
89,COM00160.00,2020,F.coal,,97000000,,,det_1581,64+33
90,COM00163.00,2019,O.bulk,Me.Ag,864100000,,,det_2834,
91,COM00163.00,2019,O.bulk,Me.Au,864100000,,,det_2834,
92,COM00163.00,2019,O.bulk,Me.Cu,864100000,,,det_2834,
93,COM00163.00,2019,O.bulk,Me.Mo,864100000,,,det_2834,
94,COM00164.00,2019,O.bulk,Me.Ag,11700000,,,det_2834,
95,COM00164.00,2019,O.bulk,Me.Au,11700000,,,det_2834,
96,COM00164.00,2019,O.bulk,Me.Cu,11700000,,,det_2834,
97,COM00170.00,2019,F.coc,,181000000,,,det_1135,
98,COM00176.00,2019,F.coal,,108000000,,,det_1426,4.5% - 6.0% moisture basis
99,COM00177.00,2017,F.obc,,14759236.8,,,det_1427,
100,COM00178.00,2018,O.sul,Me.Cu,4102003000,,,det_2840,
101,COM00178.00,2018,O.sul,Me.Mo,4102003000,,,det_2840,
102,COM00180.00,2018,O.Au,Me.Au,10336463.223787168,77.50644238028168,8.23,det_1035,
103,COM00183.00,2018,O.Au,Me.Au,14200000,55.139822487850005,4.3,det_1093,
104,COM00186.00,2018,O.Au,Me.Au,10668231.611893583,8.739993788732395,0.8999999999999999,det_1035,
105,COM00189.00,2019,F.stc,,410961600,,,det_2144,
106,COM00190.00,2018,O.bulk,Me.Ag,1400000000,1020.58283268,0.78,det_2841,
107,COM00190.00,2018,O.bulk,Me.Au,1480000000,635.029318112,0.4737837837837838,det_2841,
108,COM00190.00,2018,O.bulk,Me.Cu,1480000000,4330000,2989.189189189189,det_2841,
109,COM00191.00,2018,F.obc,,2132827.2,,,det_1431,
110,COM00192.00,2019,O.bulk,Me.Fe,11461000,,,det_1447,
111,COM00192.00,2019,O.bulk,Me.Ni,11461000,165030,14400,det_1447,
112,COM00192.00,2019,O.Fe,Me.Ni,7862000,97490,12400,det_1447,
113,COM00194.00,2013,O.P,Nm.PO,114400000,,,det_1162,
114,COM00196.00,2019,O.Au,Me.Au,133808000,135.454020894,1.11,det_1917,
115,COM00197.00,2019,O.bulk,Me.Ag,663696000,1077.28187894,2.2438630777886353,det_2842,
116,COM00197.00,2019,O.bulk,Me.Au,663696000,76.543712451,0.12233537643740508,det_2842,
117,COM00197.00,2019,O.bulk,Me.Cu,663696000,3603000,5585.9595356910395,det_2842,
118,COM00198.00,2019,O.bulk,Me.Au,21000000,,,det_1147,
119,COM00198.00,2019,O.bulk,Me.Pb,21000000,,,det_1147,
120,COM00198.00,2019,O.bulk,Me.Zn,21000000,,,det_1147,
121,COM00201.00,2020,F.coc,,84800000,,,det_1115,32.2+46.5 
122,COM00201.00,2020,F.stc,,9100000,,,det_1115,
123,COM00203.00,2013,F.coal,,26800000,,,det_1162,
124,COM00205.00,2017,O.Au,Me.Au,295300000,420.42342609,1.4191273986193227,det_2839,
125,COM00207.00,2018,O.bulk,Me.Au,316400000,,,det_1602,
126,COM00207.00,2018,O.bulk,Me.Cu,321500000,,,det_1602,
127,COM00208.00,2020,O.Au,Me.Au,33000000,56.699046,1.9,det_1499,
128,COM00210.00,2019,O.Fe,Me.Fe,2828000000,,,det_1222,856 (Proven) + 1662 (Probable) ; 101 (Proven) + 209 (Probable)
129,COM00211.00,2019,O.bulk,Me.Au,1216000,104.04274941,91.5,det_1468,
130,COM00212.00,2011,,Me.Nb,4300000,,,det_2843,
131,COM00213.00,2013,O.P,Nm.PO,52800000,,,det_1162,
132,COM00215.00,2019,F.coc,,347000000,,,det_1135,
133,COM00216.00,2017,O.bulk,Me.Ag,4099999.9999999995,,,det_2844,
134,COM00216.00,2017,O.bulk,Me.Au,4099999.9999999995,,,det_2844,
135,COM00216.00,2017,O.bulk,Me.Zn,4099999.9999999995,,,det_2844,
136,COM00216.00,2017,O.Cu,Me.Cu,4099999.9999999995,,,det_2844,
137,COM00217.00,2018,O.Al,Me.Al2O3,466000000,,,det_1065,
138,COM00219.00,2018,O.Fe,Me.Fe,23700000,,,det_1371,
139,COM00220.00,2019,O.bulk,Me.Au,1829400000,,,det_1173,
140,COM00220.00,2019,O.bulk,Me.Cu,2154900000,,,det_1173,
141,COM00220.00,2019,O.bulk,Me.Mo,1829400000,,,det_1173,
142,COM00221.00,2020,F.coal,,24737010000,,,det_2845,Only proved reserve
143,COM00222.00,2012,O.Fe,,709460000,,,det_1941,0.38*1867
144,COM00223.00,2020,O.Au,Me.Au,25615000,61.149921111,2.6233066562561,det_1439,
145,COM00224.00,2015,O.bulk,Me.Ag,2700000,,,det_2847,
146,COM00224.00,2015,O.bulk,Me.Pb,2700000,,,det_2846,
147,COM00224.00,2015,O.bulk,Me.Zn,2700000,,,det_2846,
148,COM00225.00,2019,F.stc,,342000000,,,det_1135,
149,COM00227.00,2018,O.bulk,Me.Ag,2100000,,,det_1374,
150,COM00227.00,2018,O.bulk,Me.Pb,2100000,,,det_1374,
151,COM00227.00,2018,O.bulk,Me.Zn,2100000,,,det_1374,
152,COM00228.00,2019,O.Ni,Me.Ni,32000000,,,det_1147,
153,COM00229.00,2019,O.Au,Me.Ag,1530000,863.554820103,619.2,det_1917,
154,COM00229.00,2019,O.Au,Me.Au,1530000,14.996897667,10.75,det_1917,
155,COM00230.00,2019,O.Au,Me.Au,9300000,73.70875980000001,8.02291504579,det_1151,
156,COM00231.00,2020,O.Fe,Me.Fe,303400000,,,det_1369,
157,COM00232.00,2018,O.Au,Me.Ag,17145945.945945945,1001.5809901496217,64.08,det_2833,
158,COM00232.00,2018,O.Au,Me.Au,17145945.945945945,32.79350243145946,2.1,det_2833,
159,COM00233.00,2019,O.bulk,Me.Ag,4170000000,,,det_1167,
160,COM00233.00,2019,O.bulk,Me.Cu,4265000000,,,det_1167,
161,COM00233.00,2019,O.bulk,Me.Mo,4170000000,,,det_1167,
162,COM00241.00,2019,O.Al,Me.Al2O3,17730000,,,det_1274,
163,COM00241.00,2019,O.Al,Nm.SiO2,17730000,,,det_1274,
164,COM00243.00,2019,O.Mn,Me.Mn,17000000,,,det_2044,
165,COM00244.00,2019,O.bulk,Me.Au,803984000,130.40780639800002,0.13243596887500247,det_2842,
166,COM00244.00,2019,O.bulk,Me.Cu,738789000,1757000,2000,det_2842,
167,COM00245.00,2014,O.P,Nm.PO,112000000,,,det_1114,
168,COM00250.00,2019,O.Cu,Me.Cu,250000,6800,25200,det_1449,
169,COM00253.00,2019,O.bulk,Me.Ag,224000000,,,det_1167,
170,COM00253.00,2019,O.bulk,Me.Au,224000000,,,det_1167,
171,COM00253.00,2019,O.bulk,Me.Cu,324000000,,,det_1167,
172,COM00253.00,2019,O.bulk,Me.Mo,224000000,,,det_1167,
173,COM00254.00,2018,O.Au,Me.Au,6725555.555555555,13.07228005,2.1,det_2836,
174,COM00256.00,2019,F.stc,,17200000,,,det_1307,
175,COM00257.00,2018,O.bulk,Me.Ag,8300000.000000001,,,det_1374,
176,COM00257.00,2018,O.bulk,Me.Cu,8300000.000000001,,,det_1374,
177,COM00257.00,2018,O.bulk,Me.Pb,8300000.000000001,,,det_1374,
178,COM00257.00,2018,O.bulk,Me.Zn,8300000.000000001,,,det_1374,
179,COM00258.00,2018,O.bulk,Me.Ag,8950000,1613.995043436,198,det_1126,
180,COM00258.00,2018,O.bulk,Me.Au,8950000,16.953014754,2.08,det_1126,
181,COM00258.00,2018,O.bulk,Me.Pb,8950000,74000,8199.999999999998,det_1126,
182,COM00258.00,2018,O.bulk,Me.Zn,8950000,112000,12500,det_1126,
183,COM00262.00,2019,O.Ni,Me.Ni,450000,,,det_1135,
184,COM00263.00,2019,F.coal,,86000000,,,det_1426,4.5% - 6.0% moisture basis
185,COM00264.00,2019,,Me.Mo,160000000,,,det_1167,
186,COM00265.00,2019,F.stc,,83643840,,,det_1399,
187,COM00266.00,2017,F.obc,,9759657.6,,,det_1427,
188,COM00267.00,2016,F.stc,,20865600,,,det_1402,
189,COM00269.00,2017,O.Cu,Me.Cu,4300000,,,det_2848,
190,COM00272.00,2018,O.Cu,Me.Cu,3229000000,19100000,5928.12016104057,det_1171,
191,COM00276.00,2018,O.Cu,Me.Cu,3131100000,29140000,9281.983967295839,det_1104,
192,COM00276.00,2018,O.Cu,Me.Mo,3131100000,791000,252.31164766376034,det_1104,
193,COM00280.00,2017,F.sbc,,218714126.4,,,det_1427,
194,COM00281.00,2014,O.bulk,Me.Ag,590847127.5559883,1071.0433226874393,1.7009713878000001,det_1013,
195,COM00281.00,2014,O.bulk,Me.Au,590847127.5559883,356.64638477117825,0.59533998573,det_1013,
196,COM00281.00,2014,O.bulk,Me.Cu,590847127.5559883,1492835.648101266,,det_1013,
197,COM00283.00,2019,O.bulk,Me.Ag,493800000,,,det_2849,
198,COM00283.00,2019,O.bulk,Me.Au,493800000,,,det_2849,
199,COM00283.00,2019,O.bulk,Me.Cu,493800000,,,det_2849,
200,COM00283.00,2019,O.bulk,Me.Mo,493800000,,,det_2849,
201,COM00285.00,2018,O.Au,Me.Au,17200000,4.50757417767,0.3063953488372093,det_1093,
202,COM00286.00,2011,O.P,Nm.PO,239200000,,,det_2843,
203,COM00287.00,2019,F.coc,,29937600,,,det_2144,
204,COM00292.00,2018,F.coal,,258824160,,,det_1077,
205,COM00294.00,2018,O.Au,Me.Au,145054000,247.689782451,1.87,det_1035,
206,COM00297.00,2014,O.Au,Me.Au,41470000,44.083508265,1.17,det_1036,
207,COM00298.00,2019,F.coal,,63141119.99999999,,,det_1373,
208,COM00299.00,2019,O.bulk,Me.Ag,5166000,190.22529933,40,det_2850,
209,COM00299.00,2019,O.bulk,Me.Cu,5166000,78000,15000,det_2850,
210,COM00299.00,2019,O.bulk,Me.Pb,5166000,7000,1300,det_2850,
211,COM00299.00,2019,O.bulk,Me.Zn,5166000,33000,6400,det_2850,
212,COM00302.00,2013,O.Au,Me.Au,182650000,133.5262539423,0.8,det_2851,
213,COM00302.00,2017,O.Au,Me.Au,174200000,98.65634004,0.5731909036519691,det_2839,
214,COM00305.00,2018,O.sul,Me.Cu,1766131000,,,det_2840,
215,COM00305.00,2018,O.sul,Me.Mo,1766131000,,,det_2840,
216,COM00305.00,2019,O.oxi,Me.Cu,1262000,,,det_1014,
217,COM00307.00,2013,F.coal,,17781120,,,det_1403,
218,COM00309.00,2019,F.coal,,238000000,,,det_1426,10.0% moisture basis at Curragh
219,COM00314.00,2019,O.Al,Me.Al2O3,128199999.99999999,,,det_1270,56.6 (probable) + 71.6 (proven)
220,COM00314.00,2019,O.Al,Nm.SiO2,128199999.99999999,,,det_1270,56.6 (probable) + 71.6 (proven)
221,COM00315.00,2007,O.Au,Me.Au,5208000,18.568937565000002,3.5720399143800003,det_1041,
222,COM00315.00,2020,O.Au,Me.Au,2690000,6.775535997,2.8,det_1699,
223,COM00319.00,2019,F.coal,,99000000,,,det_1135,
224,COM00320.00,2020,F.coc,,73800000,,,det_1115,
225,COM00320.00,2020,F.stc,,63600000,,,det_1115,
226,COM00321.00,2019,O.Mn,Me.Mn,60120000,,,det_2044,
227,COM00322.00,2018,O.Au,Me.Au,15300000,59.50564904987001,4.3,det_1093,
228,COM00326.00,2020,O.bulk,Me.Au,2225000,12.643887258000001,6.199999999999999,det_1500,
229,COM00326.00,2020,O.bulk,Me.Cu,2225000,6900,3000,det_1500,
230,COM00327.00,2020,O.bulk,Me.Au,4200000,5.95339983,1.5999999999999999,det_1485,
231,COM00327.00,2020,O.bulk,Me.Cu,4200000,202000,48595.23809523809,det_1485,
232,COM00332.00,2018,O.dig,Nm.dia,12000000,,,det_1065,
233,COM00333.00,2019,O.Au,Me.Ag,43100000,75.9767219884,1.9394663573085849,det_1359,
234,COM00333.00,2019,O.Au,Me.Au,43100000,35.7203991438,0.904245939675174,det_1359,
235,COM00333.00,2019,O.Au,Me.Cu,43100000,160000,3589.0951276102087,det_1359,
236,COM00338.00,2019,O.bulk,Me.Ag,43700000,,,det_1380,
237,COM00338.00,2019,O.bulk,Me.Au,43700000,,,det_1380,
238,COM00341.00,2019,F.coal,,69037920,,,det_1411,
239,COM00343.00,2018,,Me.Au,216600000,63.61632990372001,0.3314404432132964,det_1093,
240,COM00344.00,2018,O.Au,Me.Au,15000000,94.20546536099002,6.8933333333333335,det_1093,
241,COM00352.00,2018,O.bulk,Me.Ag,28600000,,,det_2852,
242,COM00352.00,2018,O.bulk,Me.Pb,28600000,,,det_2852,
243,COM00352.00,2018,O.bulk,Me.Zn,28600000,,,det_2852,
244,COM00353.00,2010,F.coal,,9797760,,,det_1409,
245,COM00354.00,2013,O.Au,Me.Au,67622950.81967212,76.97360240778688,1.1339809252000002,det_1012,
246,COM00354.00,2020,O.Au,Me.Au,43000000,45.359236800000005,1.1,det_1498,
247,COM00357.00,2018,O.Cu,Me.Cu,,549778,5000,det_1332,
248,COM00359.00,2018,O.Au,Me.Ag,2288000,21.857482233000002,10.5,det_2836,
249,COM00359.00,2018,O.Au,Me.Au,2288000,13.097479626,6.3,det_2836,
250,COM00360.00,2019,O.Cr,Me.Cr2O3,58890000,,,det_1268,
251,COM00363.00,2019,O.bulk,Me.Ag,4119000,20.9786471162,6,det_2842,
252,COM00363.00,2019,O.bulk,Me.Au,4119000,,,det_2842,
253,COM00363.00,2019,O.bulk,Me.Cu,4119000,91000,22000,det_2842,
254,COM00363.00,2019,O.bulk,Me.Ni,4119000,108000,26000,det_2842,
255,COM00365.00,2018,O.pgm,Me.pgm,22500000,726.14468545182,17.2,det_1093,
256,COM00368.00,2020,O.Au,Me.Au,42100000,41.872245471,1.09,det_2853,
257,COM00369.00,2020,O.Au,Me.Au,5800000,12.4089,2.1517241379310343,det_1495,
258,COM00372.00,2019,O.Cu,Me.Cu,717000000,,,det_1167,
259,COM00373.00,2020,O.Fe,Me.Fe,76800000,,,det_1369,
260,COM00374.00,2018,O.sul,Me.Cu,2353337000,,,det_2840,
261,COM00374.00,2018,O.sul,Me.Mo,2353337000,,,det_2840,
262,COM00376.00,2019,O.Au,Me.Ag,6397000,857.232876474,147,det_1917,
263,COM00376.00,2019,O.Au,Me.Au,6397000,25.968163068000003,4.45,det_1917,
264,COM00378.00,2020,O.Fe,Me.Fe,93500000,,,det_1369,
265,COM00380.00,2019,F.stc,,30844800,,,det_2144,
266,COM00381.00,2018,O.Cu,Me.Cu,67099999.99999999,538000,8000,det_1104,
267,COM00382.00,2018,O.Cu,Me.Cu,1348000000,11400000,8500,det_1171,
268,COM00386.00,2019,O.Au,Me.Au,8300000,36.28738944,4.39417608515,det_1151,
269,COM00392.00,2018,,Me.U,4900000,,,det_1065,
270,COM00394.00,2002,O.Au,Me.Au,65700000,22.679618504000004,0.37,det_2854,
271,COM00395.00,2019,O.bulk,Me.Ag,79000000,,,det_2855,
272,COM00395.00,2019,O.bulk,Me.Pb,79000000,,,det_2855,
273,COM00395.00,2019,O.bulk,Me.Zn,79000000,,,det_2855,
274,COM00396.00,2019,O.bulk,Me.Ag,24700000,,,det_1380,
275,COM00396.00,2019,O.bulk,Me.Au,24700000,,,det_1380,
276,COM00397.00,2018,O.Cu,Me.Cu,7539000000,,,det_1065,Sulphide ; Sulphide leach ; Oxide
277,COM00398.00,2005,O.Au,Me.Ag,268000,318.223395675,1187.2780286844002,det_1043,
278,COM00398.00,2007,O.Au,Me.Au,35000,0.453592368,12.95573207041,det_1041,
279,COM00399.00,2017,F.lig,,113976979.2,,,det_1427,
280,COM00408.00,2019,F.coal,,340835040,,,det_1373,
281,COM00413.00,2020,O.Fe,Me.Fe,1678000000,,,det_2856,
282,COM00414.00,2019,F.coal,,4445280,,,det_1373,
283,COM00416.00,2010,F.coal,,18416160,,,det_1406,
284,COM00417.00,2017,O.Ni,Me.Fe,36342670,,,det_1448,
285,COM00417.00,2017,O.Ni,Me.Ni,36342670,,,det_1448,
286,COM00418.00,2018,O.Au,Me.Au,267573000,86.069151828,0.39999999999999997,det_2836,
287,COM00421.00,2020,O.Fe,Me.Al2O3,2246000000,,,det_1355,
288,COM00421.00,2020,O.Fe,Me.Fe,2246000000,,,det_1355,
289,COM00421.00,2020,O.Fe,Nm.P,2246000000,,,det_1355,
290,COM00421.00,2020,O.Fe,Nm.SiO2,2246000000,,,det_1355,
291,COM00422.00,2020,O.Au,Me.Au,6471000,11.283110154000001,1.91,det_1439,
292,COM00425.00,2019,F.stc,,12700800,,,det_2144,
293,COM00428.00,2019,F.coal,,392636160,,,det_1373,
294,COM00429.00,2018,O.bulk,Me.Ag,22572000,5008.113335088,243,det_1126,
295,COM00429.00,2018,O.bulk,Me.Au,22572000,16.045830018,0.78,det_1126,
296,COM00429.00,2018,O.bulk,Me.Pb,22572000,355000,15700.000000000002,det_1126,
297,COM00429.00,2018,O.bulk,Me.Zn,22572000,755000,33500,det_1126,
298,COM00432.00,2012,O.Au,Me.Au,50880000,445.626152037,6.26,det_2857,
299,COM00436.00,2018,O.Cu,Me.Cu,336000000,1200000,3500,det_1171,
300,COM00442.00,2018,O.bulk,Me.Ag,76200000,,,det_1124,
301,COM00442.00,2018,O.bulk,Me.Au,76200000,,,det_1124,
302,COM00442.00,2018,O.bulk,Me.Cu,76200000,,,det_1124,
303,COM00442.00,2018,O.bulk,Me.Pb,76200000,,,det_1124,
304,COM00442.00,2018,O.bulk,Me.Zn,76200000,,,det_1124,
305,COM00445.00,2019,F.stc,,47174400,,,det_2144,
306,COM00446.00,2018,O.Au,Me.Au,9470000,37.704865762900006,4.38,det_2833,
307,COM00447.00,2018,O.Mn,Me.Mn,66800000,,,det_1104,
308,COM00448.00,2017,F.sbc,,67575513.60000001,,,det_1427,
309,COM00480.00,2019,F.coal,,70217280,,,det_1411,
310,COM00482.00,2020,F.stc,,17500000,,,det_1115,11.5+6.0
311,COM00483.00,2019,F.stc,,290000000,,,det_1265,
312,COM00484.00,2015,O.bulk,Me.Cu,300000,,,det_2846,Partial Oxide Copper
313,COM00484.00,2016,O.bulk,Me.Ag,4100000,,,det_2846,Primary Zinc ; Primary Copper ; Oxide Gold
314,COM00484.00,2016,O.bulk,Me.Au,4100000,,,det_2846,Primary Zinc ; Primary Copper ; Oxide Gold
315,COM00484.00,2016,O.bulk,Me.Cu,3900000,,,det_2846,Primary Zinc ; Primary Copper
316,COM00484.00,2016,O.bulk,Me.Pb,1900000,,,det_2846,Primary Zinc
317,COM00484.00,2016,O.bulk,Me.Zn,1900000,,,det_2846,Primary Zinc
318,COM00485.00,2018,O.Au,Me.Au,366000,0.56699046,1.7,det_1035,
319,COM00486.00,2019,O.Au,Me.Au,20980000,30.844281024,1.61,det_1632,
320,COM00487.00,2018,O.Au,Me.Au,6399000,56.500599339000004,9.69,det_2858,
321,COM00488.00,2018,O.Au,Me.Au,75000000,261.146356035,3.8221202666666665,det_1035,
322,COM00489.00,2019,F.coc,,549000000,,,det_1135,
323,COM00490.00,2018,O.Au,Me.Ag,1400000,15.308742490200002,12,det_2841,
