source_id,sources,source_urls
det_1000,Centamin (n.d.) Sukari Statistical Overview,http://www.centamin.com/production/sukari/statistical-overview
det_1001,Newmont Mining Corporation (2018) Ahafo Operation Facts,https://www.newmont.com/operations-projects/africa/ahafo/
det_1002,Newmont Mining Corporation (2018) Akyem Operation Facts,https://www.newmont.com/operations-projects/africa/akyem/
det_1003,Newmont Mining Corporation (2018) Boddingtion Operation Facts,https://www.newmont.com/operations-projects/australia/boddington/
det_1004,Newmont Mining Corporation (2018) Kalgoorlie Operation Facts,https://www.newmont.com/operations-and-projects/australia/kalgoorlie-australia/operation-facts/default.aspx
det_1005,Newmont Mining Corporation (2018) Tanami Operation Facts,https://www.newmont.com/operations-projects/australia/tanami/
det_1006,Newmont Mining Corporation (2018) Nevada Operation Facts ; Newmont Mining Corporation (2019) Annual Report 2018,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx ; https://www.newmont.com/files/doc_financials/annual/2018-Newmont-Annual-Report-Web-Posting-Bookmarked-PDF-(002).pdf
det_1007,Newmont Mining Corporation (2018) Nevada Operation Facts,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx
det_1008,Newmont Mining Corporation (2018) Cripple Creek & Victor Mine (CC&V) Operation Facts,https://www.newmont.com/operations-projects/north-america/cripple-creek/
det_1009,Newmont Mining Corporation (2018) Annnual Report 2017,https://s1.q4cdn.com/259923520/files/doc_financials/annual/2017/2017-Newmont-Annual-Report-Web-Posting-Bookmarked-PDF-(002).pdf
det_1010,Newmont Mining Corporation (2018)  Yanacocha Operation Facts ; Compania de Minas Buenaventura S.A.A. (2020) Form 20-F Annual Report 2019,https://www.newmont.com/operations-projects/south-america/yanacocha/ ; https://www.sec.gov/Archives/edgar/data/1013131/000110465920045603/tm206798d1_20f.htm
det_1011,Newmont Mining Corporation (2018) Merian Operation Facts,https://www.newmont.com/operations-and-projects/south-america/merian-suriname/operation-facts/default.aspx
det_1012,Newmont Mining Corporation (2014) Annual Report 2013,https://s2.q4cdn.com/575378270/files/doc_financials/annual/2013-Annual-Report_full-report_FINAL_v001_x688hv.PDF
det_1013,Newmont Mining Corporation (2016) Annual Report 2015,https://s2.q4cdn.com/575378270/files/doc_financials/annual/newmont-2015-AR.pdf
det_1014,Southern Copper Corporation (2020) Annual Report 2019,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm
det_1015,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Taxco,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1016,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Charcas,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1017,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Santa Eulalia,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1018,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Santa Barbara,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1019,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - San Martin,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1020,Southern Copper Corporation (n.d.) Integrated Operations Tia Maria,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx
det_1021,Southern Copper Corporation (n.d.) Integrated Operations EL ARCO,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx
det_1022,Southern Copper Corporation (n.d.) Integrated Operations SAN LUIS POTOSI - Processing Facilities,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1023,Southern Copper Corporation (n.d.) Integrated Operations ILO - Processing Facilities,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros
det_1024,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf
det_1025,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf ; https://barrick.q4cdn.com/788666289/files/presentation/2019/07/Nevada-Gold-Mines-Launched.pdf
det_1026,"Barrick Gold Corporation (2019) Barrick The new value champion, February 2019 ;",http://www.barrick.com/files/presentation/2019/Barrick-Fact-Sheet-Feb2019.pdf ; https://barrick.q4cdn.com/788666289/files/presentation/2019/07/Nevada-Gold-Mines-Launched.pdf
det_1027,Barrick Gold Corporation (2019) Operations Lumwana,https://www.barrick.com/English/operations/lumwana/
det_1028,Barrick Gold Corporation (2019) Operations Tongon,https://www.barrick.com/English/operations/tongon/default.aspx
det_1029,Barrick Gold Corporation (2019) Operations Golden Sunlight,https://www.barrick.com/English/operations/golden-sunlight/default.aspx
det_1030,Barrick Gold Corporation (2019) Operations Hemlo,https://www.barrick.com/English/operations/hemlo/default.aspx
det_1031,Barrick Gold Corporation (2019) Operations Lagunas Norte,https://www.barrick.com/English/operations/lagunas-norte/default.aspx
det_1032,Barrick Gold Corporation (2019) Operations Porgera,https://www.barrick.com/English/operations/porgera/default.aspx
det_1033,Barrick Gold Corporation (2019) Operations Veladero,https://www.barrick.com/English/operations/veladero/default.aspx
det_1034,Barrick Gold Corporation (2019) Operations Jabal Sayid,https://www.barrick.com/English/operations/jabal-sayid/default.aspx
det_1035,Barrick Gold Corporation (2019) Annual Report 2018,https://barrick.q4cdn.com/788666289/files/annual-report/Barrick-Annual-Report-2018.pdf
det_1036,Barrick Gold Corporation (2015) Annual Report 2014,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2014/Barrick-Annual-Report-2014.pdf
det_1037,Barrick Gold Corporation (2014) Annual Report 2013,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2013/Barrick-Annual-Report-2013.pdf
det_1038,"Barrick Gold Corporation (2013) Annual Report 2012 ; SSR Mining Inc. (2020) Annual Information Form for the financial Year ended December 31, 2019",https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf ; http://s22.q4cdn.com/546540291/files/doc_financials/2019/ar/SSR-Mining-2019-Annual-Information-Form-(Final).pdf
det_1039,Barrick Gold Corporation (2013) Annual Report 2013,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf
det_1040,Barrick Gold Corporation (2013) Annual Report 2014,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2012/Barrick-Annual-Report-2012.pdf
det_1041,Barrick Gold Corporation (2008) Annual Report 2007,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2007/Barrick-Annual-Report-2007.pdf
det_1042,Barrick Gold Corporation (2007) Annual Report 2006,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2006/Barrick-Annual-Report-2006.pdf
det_1043,Barrick Gold Corporation (2006) Annual Report 2005,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2005/Barrick-Annual-Report-2005.pdf
det_1044,Barrick Gold Corporation (2004) Annual Report 2003,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2003/Barrick-Annual-Report-2003.pdf
det_1045,Barrick Gold Corporation (2017) Annual Report 2016,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2016/Barrick-Annual-Report-2016.pdf
det_1046,"Kinross Gold (2017) Operations Fort Knox, USA",https://www.kinross.com/operations/default.aspx
det_1047,"Kinross Gold (2017) Operations Paracatu, Brazil",https://www.kinross.com/operations/default.aspx#americas-paracatu
det_1048,"Kinross Gold (2017) Operations Dvoinoye, Russia",https://www.kinross.com/operations/default.aspx#russia-dvoinoye
