id,facility_id,year,product,value_tonnes,transport_to,transport_by,export,export_to,reporting_period,source_id,comment
1,COM00003.00,2017,F.coal,,,"Truck, Rail",,,,det_1427,
2,COM00010.00,2015,,530000,,,Yes,North America,,det_2087,
3,COM00010.00,2015,,2000,,,Yes,Europe,,det_2087,
4,COM00010.00,2016,,590000,,,Yes,North America,,det_1371,
5,COM00010.00,2016,,47000,,,Yes,Europe,,det_1371,
6,COM00010.00,2017,,468000,,,Yes,North America,,det_1371,
7,COM00010.00,2017,,10000,,,Yes,Europe,,det_1371,
8,COM00010.00,2018,,3447000,,,No,,,det_1371,2126+1321
9,COM00010.00,2018,,454000,,,Yes,United States,,det_1371,
10,COM00017.00,2019,O.Al,,Ras Al Khair Alumina Refinery,"Road, Rail",No,,,det_1270,
11,COM00032.00,,Me.Al2O3,,Albras,,No,,,det_1161,
12,COM00037.00,2014,F.coal,,,"Rail, Truck",,,,det_1418,
13,COM00039.00,2014,F.coal,,,"Rail, Truck",,,,det_1418,
14,COM00040.00,2012,F.coal,,,"Rail, Truck",,,,det_1419,
15,COM00043.00,2010,Oth.sif,,Monlevade plant,Rail,No,,,det_1823,
16,COM00043.00,2011,Oth.sif,,Monlevade plant,Rail,No,,,det_1923,
17,COM00043.00,2012,Oth.sif,,Monlevade plant,Rail,No,,,det_1922,
18,COM00043.00,2013,Oth.sif,,Monlevade plant,Rail,No,,,det_1220,
19,COM00043.00,2014,Oth.sif,,Monlevade plant,Rail,No,,,det_1221,
20,COM00043.00,2015,Oth.sif,,Monlevade plant,Rail,No,,,det_1921,
21,COM00043.00,2016,Oth.sif,,Monlevade plant,Rail,No,,,det_1920,
22,COM00043.00,2017,Oth.sif,,Monlevade plant,Rail,No,,,det_1919,
23,COM00043.00,2018,Oth.sif,,Monlevade plant,Rail,No,,,det_1918,
24,COM00043.00,2019,Oth.sif,,Monlevade plant,Rail,No,,,det_1218,
25,COM00046.00,2008,Me.Al,101723,,,Yes,,April-March,det_2011,
26,COM00046.00,2009,Me.Al,82317,,,Yes,,April-March,det_2011,
27,COM00046.00,2010,Me.Al,146947,,,Yes,,April-March,det_2010,
28,COM00046.00,2011,Me.Al,98200,,,Yes,,April-March,det_2010,
29,COM00046.00,2012,Me.Al,98399,,,Yes,,April-March,det_2010,
30,COM00046.00,2013,Me.Al,144161,,,Yes,,April-March,det_2010,
31,COM00046.00,2014,Me.Al,101243,,,Yes,,April-March,det_2010,
32,COM00046.00,2015,Me.Al,60752,,,Yes,,April-March,det_2009,
33,COM00046.00,2016,Me.Al,94671,,,Yes,,April-March,det_2009,
34,COM00046.00,2017,Me.Al,100591,,,Yes,,April-March,det_2009,
35,COM00046.00,2018,Me.Al,75847,,,Yes,,April-March,det_2009,
36,COM00046.00,2019,Me.Al,38463,,,Yes,,April-March,det_2009,
37,COM00048.00,2019,Con.Cu,,Huarmey port,Pipeline,,,,det_1608,
38,COM00048.00,2019,Con.Zn,,Huarmey port,Pipeline,,,,det_1608,
39,COM00048.00,2019,Me.Mo,,Huarmey port,Road,,,,det_1608,
40,COM00048.00,2019,,,Huarmey port,Road,,,,det_1608,
41,COM00057.00,2016,,54672,,,Yes,,,det_1388,
42,COM00057.00,2017,,62450,,,Yes,,,det_1388,
43,COM00057.00,2018,,81899,,,Yes,,,det_1388,
44,COM00059.00,2019,,,,"Rail, Lake vessels, Road",,,,det_1218,
45,COM00063.00,2019,,,,"Sea, Rail, Road",,,,det_1218,
46,COM00067.00,2018,,,,"Road, Air",,,,det_1065,
47,COM00071.00,2020,F.coal,,NPLCT (North Pulau Laut Coal Terminal),,,,,det_1510,
48,COM00073.00,2011,Con.Fe,300000,Temirtau steel plant,Rail,No,,,det_1923,
49,COM00073.00,2012,Con.Fe,440000,Temirtau steel plant,Rail,No,,,det_1922,
50,COM00073.00,2013,Con.Fe,400000,Temirtau steel plant,Rail,No,,,det_1220,
51,COM00073.00,2014,Con.Fe,400000,Temirtau steel plant,Rail,No,,,det_1221,
52,COM00073.00,2015,Con.Fe,400000,Temirtau steel plant,Rail,No,,,det_1921,
53,COM00073.00,2016,Con.Fe,500000,Temirtau steel plant,Rail,No,,,det_1920,
54,COM00073.00,2017,Con.Fe,500000,Temirtau steel plant,Rail,No,,,det_1919,
55,COM00073.00,2018,Con.Fe,500000,Temirtau steel plant,Rail,No,,,det_1918,
56,COM00073.00,2019,Con.Fe,600000,Temirtau steel plant,Rail,No,,,det_1218,
57,COM00074.00,2011,Con.Fe,1200000,Temirtau steel plant,Rail,No,,,det_1923,
58,COM00074.00,2012,Con.Fe,640000,Temirtau steel plant,Rail,No,,,det_1922,
59,COM00074.00,2013,Con.Fe,600000,Temirtau steel plant,Rail,No,,,det_1220,
60,COM00074.00,2014,Con.Fe,900000,Temirtau steel plant,Rail,No,,,det_1221,
61,COM00074.00,2015,Con.Fe,800000,Temirtau steel plant,Rail,No,,,det_1921,
62,COM00074.00,2016,Con.Fe,800000,Temirtau steel plant,Rail,No,,,det_1920,
63,COM00074.00,2017,Con.Fe,1000000,Temirtau steel plant,Rail,No,,,det_1919,
64,COM00074.00,2018,Con.Fe,800000,Temirtau steel plant,Rail,No,,,det_1918,
65,COM00074.00,2019,Con.Fe,900000,Temirtau steel plant,Rail,No,,,det_1218,
66,COM00084.00,2019,,,,Road,,,,det_1167,
67,COM00109.00,2019,F.coal,,,"Rail, Truck",,,,det_2144,
68,COM00113.00,2019,F.coc,,,Rail,,,,det_1399,
69,COM00118.00,2018,F.coal,,,"Truck, Barge",,,,det_1431,
70,COM00128.00,2017,F.coal,,,Rail,,,,det_1427,
71,COM00141.00,2019,F.stc,,,Rail,,,,det_1399,
72,COM00142.00,2012,F.coal,,,"Rail, Truck",,,,det_1419,
73,COM00143.00,,F.coc,,"Hay Point port, Gladstone port, Dalrymple Bay port, Abbot Point port",Rail,,,,det_1608,
74,COM00150.00,2006,O.Al,,Korba,Road,No,,,det_2012,
75,COM00150.00,2007,O.Al,,Korba,Road,No,,,det_2012,
76,COM00150.00,2008,O.Al,,Korba,Road,No,,,det_1689,
77,COM00150.00,2009,O.Al,,Korba,Road,No,,,det_1689,
78,COM00150.00,2010,O.Al,,Korba,Road,No,,,det_1689,
79,COM00150.00,2011,O.Al,,Korba,Road,No,,,det_1308,
80,COM00150.00,2012,O.Al,,Korba,Road,No,,,det_1308,
81,COM00150.00,2013,O.Al,,Korba,Road,No,,,det_1308,
82,COM00150.00,2014,O.Al,,Korba,Road,No,,,det_1309,
83,COM00150.00,2015,O.Al,,Korba,Road,No,,,det_1309,
84,COM00150.00,2016,O.Al,,Korba,Road,No,,,det_1309,
