id,facility_id,year,type_mining,waste_type,material,commodity,value_tonnes,total_material_tonnes,stripping_ratio,reporting_period,source_id,comment
1,COM00009.00,2007,Surface,Waste rock,,,32035046.400000002,40129992,,,det_1696,
2,COM00009.00,2008,Surface,Waste rock,,,34772976,45874382.400000006,,,det_1695,
3,COM00009.00,2009,Surface,Waste rock,,,36731620.800000004,47148091.2,,,det_1695,
4,COM00009.00,2010,Surface,Waste rock,,,35193916.800000004,46316188.800000004,,,det_1694,
5,COM00009.00,2011,Surface,Waste rock,,,33294240,47475590.400000006,,,det_1694,
6,COM00009.00,2012,Surface,Waste rock,,,31673980.8,44250494.4,,,det_1596,
7,COM00009.00,2013,Surface,Waste rock,,,38332828.800000004,54468288,,,det_1596,
8,COM00009.00,2014,Surface,Waste rock,,,29530267.200000003,41439988.800000004,,,det_1693,
9,COM00009.00,2015,Surface,Waste rock,,,29820571.200000003,36366926.4,,,det_1691,
10,COM00009.00,2016,Surface,Waste rock,,,29099347.200000003,34936272,,,det_1691,
11,COM00009.00,2017,Surface,Waste rock,,,29322518.400000002,35701041.6,,,det_1691,
12,COM00009.00,2018,Surface,Waste rock,,,26822275.200000003,32926824,,,det_1691,
13,COM00009.00,2019,Surface,Waste rock,,,29498515.200000003,36045777.6,,,det_1691,
14,COM00016.00,2013,Surface,Waste rock,,,4014360,5747112,,,det_1596,
15,COM00016.00,2014,Surface,Waste rock,,,21907972.8,33295147.200000003,,,det_1693,
16,COM00016.00,2015,Surface,Waste rock,,,23139950.400000002,32506790.400000002,,,det_1691,
17,COM00016.00,2016,Surface,Waste rock,,,24166900.8,33147273.6,,,det_1691,
18,COM00016.00,2017,Surface,Waste rock,,,23740516.8,31957934.400000002,,,det_1691,
19,COM00016.00,2018,Surface,Waste rock,,,21741955.2,32364360,,,det_1691,
20,COM00016.00,2019,Surface,Waste rock,,,20722262.400000002,32375246.400000002,,,det_1691,
21,COM00031.00,2005,,Waste rock,,,81553333.33333333,,2.4,,det_1158,
22,COM00031.00,2006,,Waste rock,,,81161066.66666667,,2.6,,det_1158,
23,COM00031.00,2007,,Waste rock,,,84308800,,3.3,,det_1157,
24,COM00031.00,2008,,Waste rock,,,71326666.66666667,,2.5,,det_1157,
25,COM00031.00,2009,,Waste rock,,,58895733.333333336,,2,,det_1814,
26,COM00031.00,2010,,Waste rock,,,59126933.333333336,,2.4,,det_1814,
27,COM00031.00,2011,,Waste rock,,,52201600,,2.3,,det_1813,
28,COM00031.00,2012,,Waste rock,,,65618933.333333336,,2.1,,det_1813,
29,COM00031.00,2013,,Waste rock,,,55153600,,2.2,,det_1155,
30,COM00031.00,2014,,Waste rock,,,42427200,,2.5,,det_1155,
31,COM00031.00,2015,,Waste rock,,,45650666.666666664,,1.2,,det_1702,
32,COM00031.00,2016,,Waste rock,,,25274666.666666668,,0.8,,det_1702,
33,COM00048.00,2013,,,,,,211586000,,,det_1807,
34,COM00048.00,2014,,,,,,194102000,,,det_1807,
35,COM00048.00,2015,,,,,,215653000,,,det_1807,
36,COM00048.00,2016,,,,,,244443000,,,det_1807,
37,COM00048.00,2017,,,,,,236366000,,,det_1807,
38,COM00048.00,2018,,,,,,242407000,,,det_1807,
39,COM00051.00,2017,Surface,Waste rock,,,2480723,,,,det_2240,
40,COM00051.00,2018,Surface,Waste rock,,,4849538,,,,det_2239,
