,x,y,facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,Country,country,capacity_tpa,commodity,value_tonnes,material,material_name,material_category,material_category_2,value_tonnes_material,input,output,input_value_tonnes,output_value_tonnes
0,-101.8794642,54.7748162,COM00001.00,777,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,Canada,CA,,Me.Ag,37.403,O.bulk,Bulk metal ore,mineral,metal ore,1625532.0,,,,
1,-101.8794642,54.7748162,COM00001.00,777,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,Canada,CA,,Me.Au,3.284,O.bulk,Bulk metal ore,mineral,metal ore,1625532.0,,,,
2,-101.8794642,54.7748162,COM00001.00,777,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,Canada,CA,,Me.Cu,30072.342,O.bulk,Bulk metal ore,mineral,metal ore,1625532.0,,,,
3,-101.8794642,54.7748162,COM00001.00,777,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,Canada,CA,,Me.Zn,61932.769,O.bulk,Bulk metal ore,mineral,metal ore,1625532.0,,,,
4,76.2084138,14.2235254,COM00002.00,A Narrain,Mine,Iron,Iron ore,Open pit,India,IN,,,,,,,,,,,,
5,-107.082901,45.8053054,COM00003.00,Absaloka,Mine,Coal,Sub-bituminous coal,,United States of America,US,,,6667920.0,F.sbc,Sub-bituminous coal,ff_mineral,coal & peat,,,,,
6,,,COM00004.00,Abyz,Mine,Gold,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Ag,18.268,O.Cu,Copper dominant ore,mineral,metal ore,500000.0,,,,
7,,,COM00004.00,Abyz,Mine,Gold,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Au,1.705,O.Cu,Copper dominant ore,mineral,metal ore,500000.0,,,,
8,,,COM00004.00,Abyz,Mine,Gold,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Cu,8044.5,O.Cu,Copper dominant ore,mineral,metal ore,500000.0,,,,
9,,,COM00004.00,Abyz,Mine,Gold,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Zn,13908.4,O.Cu,Copper dominant ore,mineral,metal ore,500000.0,,,,
