Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
SDZ00002,Sider El Hadjar Annaba steel plant,Algeria,exact,operating,1969,54,1800,,1800,,1200,1200,,,,,,semi-finished; finished rolled,integrated (BF),DZ,36.795924, 7.707633
SDZ00001,Algerian Qatari Steel Jijel plant,Algeria,exact,operating,2017,6,2200,,2200,,2500,,2500,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),DZ,36.753961, 6.244420
SDZ00003,Tosyali Algerie Oran steel plant,Algeria,exact,operating,2008,15,3700,,3700,,2500,,2500,,,,4000,semi-finished; finished rolled,integrated (DRI),DZ,35.770912, -0.263031
SAO00001,Aceria Angola Bengo steel plant,Angola,exact,operating,2015,8,500,,500,,,,,,,,,semi-finished; finished rolled,electric,AO,-8.582400, 13.405271
SEG00004,Al-Ezz Dekheila Steel Alexandria plant,Egypt,exact,operating,1986,37,3200,,3200,,3100,,3100,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),EG,31.123467, 29.809870
SEG00009,Egyptian Steel Beni Suef plant,Egypt,approximate,operating,2016,7,600,,600,,,,,,,,,semi-finished; finished rolled,electric,EG,29.152604, 31.247401
SEG00001,Egyptian American Steel Rolling Company Sadat City plant,Egypt,exact,operating,1998,25,1200,,1200,,,,,,,,,crude; semi-finished; finished rolled,electric,EG,30.389174, 30.571894
SEG00003,Egyptian Sponge Iron and Steel Company Sadat City plant,Egypt,exact,operating,2008,15,3000,,3000,,2000,,2000,,unknown,,unknown,crude; semi-finished; finished rolled,integrated (DRI),EG,30.393079, 30.587730
SEG00006,Ezz Steel Rebar Sadat City plant,Egypt,exact,operating,1994,29,1000,,1000,,,,,,,,,finished rolled,electric,EG,30.382179, 30.563029
SEG00005,Ezz Flat Steel Ain Sokhna plant,Egypt,exact,operating,1998,25,2300,,2300,,1900,,1900,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),EG,29.692045, 32.322117
SEG00007,Suez Steel Solb Misr Attaka plant,Egypt,exact,operating,2000,23,2100,,2100,,2100,,2100,,,,,semi-finished; finished rolled,integrated (DRI),EG,29.923176, 32.466587
SEG00008,Egyptian Steel Ain Sokhna plant,Egypt,approximate,operating,2018,5,600,,600,,,,,,,,,semi-finished; finished rolled,electric,EG,29.872757, 32.469342
SGH00001,Sentuo Steel Tema plant,Ghana,exact,operating,2015,8,800,unknown,unknown,,unknown,unknown,,,unknown,unknown,unknown,semi-finished; finished rolled,unknown,GH,5.709490, -0.023595
SKE00002,Devki Steel Mills Kwale plant,Kenya,approximate,operating,2022,1,1000,,1000,,500,,500,,unknown,,unknown,unknown,integrated (DRI),KE,-3.777340, 39.279963
SLY00001,Libyan Iron and Steel Misrata plant,Libya,exact,operating,1979,44,1750,,1750,,1750,,1750,,unknown,,unknown,crude; semi-finished; finished rolled,integrated (DRI),LY,32.335185, 15.215053
SMA00002,ArcelorMittal Sonasid Casablanca steel plant,Morocco,exact,operating,2002,21,800,,800,,,,,,,,,semi-finished; finished rolled,electric,MA,33.136529, -8.603555
SMA00001,Mahgreb Steel Casablanca plant,Morocco,exact,operating,1975,48,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,MA,33.592793, -7.475613
SNG00001,Delta Steel Company Warri plant,Nigeria,exact,operating,1982,41,1300,,1300,,1020,,1020,,,,>0,semi-finished; finished rolled,integrated (DRI),NG,5.480763, 5.769839
SZA00002,ArcelorMittal Vanderbijlpark Steel Works,South Africa,exact,operating,1947,76,4500,4500,,,4150,3200,950,,2666,1420,,semi-finished; finished rolled,integrated (BF and DRI),ZA,-26.657367, 27.822310
SZA00001,ArcelorMittal Newcastle Steel Works,South Africa,exact,operating,1971,52,1900,1900,,,2043.9999999999998,2044,,,2432,945,,semi-finished; finished rolled,integrated (BF),ZA,-27.705376, 30.014063
SZA00003,Acerinox Columbus Stainless steel plant,South Africa,exact,operating,1966,57,750,,750,,,,,,,,,semi-finished; finished rolled,electric,ZA,-25.796313, 29.497972
SUG00001,Tembo Steels Iganga plant,Uganda,approximate,operating,2000,23,450,,450,,,,,unknown,unknown,,unknown,unknown,electric,UG,0.611975, 33.457629
SUG00001-1,Tembo Steels Iganga plant DRI expansion,Uganda,approximate,operating,2022,1,,,,,1200,,1200,unknown,unknown,,unknown,unknown,ironmaking (DRI),UG,0.611975, 33.457629
SAU00001,BlueScope Port Kembla steel plant,Australia,exact,operating,1928,95,3200,3200,,,3000,3000,,,>0,>0,,semi-finished; finished rolled,integrated (BF),AU,-34.463834, 150.886191
SAU00004,GFG Liberty Sydney Steel Mill,Australia,exact,operating,1982,41,750,,750,,,,,,unknown,unknown,unknown,semi-finished; finished rolled,electric,AU,-33.76601, 150.849819
SAU00002,GFG Liberty Steel Australia Whyalla steel plant,Australia,exact,operating,1941,82,1200,1200,,,1200,1200,,,unknown,unknown,unknown,semi-finished; finished rolled,integrated (BF),AU,-33.009381, 137.587836
SAU00003,GFG Liberty Laverton Steel Mill,Australia,exact,operating,1992,31,660,,660,,,,,,unknown,unknown,unknown,semi-finished; finished rolled,electric,AU,-37.831379, 144.788169
SBD00005,BSRM Steels Chattogram plant,Bangladesh,exact,operating,1996,27,1012,,1012,,,,,,,,,semi-finished; finished rolled,electric,BD,22.381060, 91.768620
SBD00001,GPH Steel Sitakunda plant,Bangladesh,exact,operating,2008,15,1008,,1008,,,,,,,,,semi-finished; finished rolled,electric,BD,22.536569, 91.700729
SBD00003,Abul Khair Steel Sitakunda plant,Bangladesh,exact,operating,2015,8,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,BD,22.472008, 91.734827
SBD00007,KSRM Sitakunda steel plant,Bangladesh,exact,operating,1984,39,800,,800,,,,,,,,,semi-finished; finished rolled,electric,BD,22.499834, 91.715778
SBD00004,BSRM Steels Mirsarai plant,Bangladesh,exact,operating,2008,15,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,BD,22.871760, 91.546568
