,oil residential heat share,biomass residential heat share,biomass to elec heat share,oil to elec heat share,biomass to elec share,oil to elec share,space to water heat share,gas to elec share,gas to elec heat share,gas residential heat share
MA,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
NG,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BJ,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
EG,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
UY,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
FM,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SB,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
GW,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CA,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
HN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
TJ,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
IS,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
LV,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
MG,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
DE,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
GH,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SD,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
TN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SK,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
TV,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
KN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
LR,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CL,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CY,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
KR,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
JO,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
NE,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
KM,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
AU,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
EE,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
HU,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
GB,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BO,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
KG,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BF,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
IN,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BB,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CR,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
TH,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
EC,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
ID,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
DO,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
CV,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
KE,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
PY,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
MD,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
QA,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SO,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
SE,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
ML,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BR,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
TL,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
DZ,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
UG,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
LA,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
BA,0.6667,0.75,0.0,0.5,0.0,0.5,0.6,0.0,0.0,0.75
