,EUR/km/MWh
BE,0.140625
BG,0.063541666666667
CZ,0.0875
DK,0.190625
DE,0.133333333333333
EE,0.086458333333333
IE,0.133333333333333
GR,0.111458333333333
ES,0.119791666666667
FR,0.142708333333333
IT,0.132291666666667
CY,0.109375
LV,0.08125
LT,0.073958333333333
LU,0.145833333333333
HU,0.072916666666667
MT,0.091666666666667
NL,0.145833333333333
AT,0.136458333333333
PL,0.078125
PT,0.092708333333333
RO,0.0625
SI,0.097916666666667
SK,0.083333333333333
FI,0.148958333333333
SE,0.161458333333333
GB,0.14375
HR,0.080208333333333
AL,0.055208333333333
BA,0.059375
MK,0.051041666666667
ME,0.060416666666667
RS,0.057291666666667
KO,0.058333333333333
UA,0.053125
TR,0.078125
MD,0.055208333333333
CH,0.177083333333333
NO,0.161458333333333
MA,0.1
NG,0.1
BJ,0.1
NAN,0.1
BR,0.1
AE,0.1
QA,0.1
EG,0.1
MW,0.1
MZ,0.1
GH,0.1
TH,0.1
KR,0.1
AO,0.1
TV,0.1
GM,0.1
PG,0.1
TO,0.1
KI,0.1
MU,0.1
SO,0.1
GN,0.1
KG,0.1
SN,0.1
VE,0.1
KE,0.1
LK,0.1
BH,0.1
GQ,0.1
TD,0.1
PA,0.1
GD,0.1
PH,0.1
FJ,0.1
ET,0.1
LC,0.1
CU,0.1
ER,0.1
SC,0.1
AF,0.1
AZ,0.1
FM,0.1
SA,0.1
TT,0.1
TZ,0.1
SR,0.1
DO,0.1
SB,0.1
GE,0.1
PK,0.1
RU,0.1
MM,0.1
CA,0.1
BI,0.1
LS,0.1
GT,0.1
MC,0.1
DJ,0.1
BD,0.1
EC,0.1
HT,0.1
UG,0.1
AM,0.1
ST,0.1
NI,0.1
CN,0.1
US,0.1
IR,0.1
CR,0.1
CI,0.1
VU,0.1
SS,0.1
OM,0.1
CM,0.1
CO,0.1
AR,0.1
TJ,0.1
DM,0.1
TL,0.1
IQ,0.1
BW,0.1
ML,0.1
KM,0.1
IL,0.1
LY,0.1
BY,0.1
MR,0.1
BB,0.1
KH,0.1
PE,0.1
AG,0.1
BO,0.1
TG,0.1
UY,0.1
LR,0.1
IS,0.1
MX,0.1
IN,0.1
ID,0.1
SY,0.1
VC,0.1
DZ,0.1
RW,0.1
YE,0.1
LI,0.1
EH,0.1
GA,0.1
MY,0.1
ZA,0.1
NA,0.1
TM,0.1
NE,0.1
SZ,0.1
MH,0.1
CG,0.1
SD,0.1
NZ,0.1
PW,0.1
MG,0.1
SL,0.1
GW,0.1
AU,0.1
SV,0.1
NR,0.1
BT,0.1
SM,0.1
MV,0.1
JM,0.1
CL,0.1
CD,0.1
KW,0.1
BZ,0.1
SG,0.1
JO,0.1
BS,0.1
ZW,0.1
GY,0.1
CF,0.1
BF,0.1
JP,0.1
LA,0.1
UZ,0.1
KN,0.1
MN,0.1
LB,0.1
NP,0.1
BN,0.1
VN,0.1
AD,0.1
KZ,0.1
KP,0.1
TN,0.1
ZM,0.1
WS,0.1
PY,0.1
HN,0.1
CV,0.1
