name,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
MA.10_1,19207900.0,0.0,8232000.0,6561000.0,804800.0,541.8548672334043,181719300.0,22305400.0,4837100.0,11718900.000000002,893199.9999999999,32199400.0,2388700.0,358200.0,1432700.0,4945900.0,14376700.0,35466600.0,1162000.0,6340800.0,3192900.0,3642900.0,14268000.0,2628600.0,411599.99999999994,0.0,0.0
MA.11_1,188673439.32999998,0.0,80860466.4,64446734.7,7905308.96,327.7288201160539,1784974168.1100001,219099252.57999998,47513382.169999994,115111239.03000002,8773635.639999999,316285046.38,23463483.490000002,3518491.14,14072982.290000001,48582091.93,141218011.09,348377771.82,11413977.4,62283776.160000004,31362898.830000002,35783113.830000006,140150283.6,25819949.220000003,4043023.32,0.0,0.0
MA.12_1,1800281556.19,0.0,771553255.2,614936942.1,75430765.28,848.2522779074241,17031841283.73,2090598150.94,453362518.31,1098366793.2900002,83716152.52,3017924184.34,223883535.07,33572689.02,134281383.47,463559917.98999995,1347472021.8700001,3324146098.2599998,108909728.2,594298454.88,299258064.69,341434809.69,1337283994.8,246368426.46,38577662.76,0.0,0.0
MA.13_1,11094483.04,0.0,4754803.2,3789633.6,464852.48000000004,616.9075382698381,104961067.68,12883599.04,2793908.96,6768836.640000001,515912.31999999995,18598373.44,1379713.12,206896.32,827527.52,2856751.84,8303981.920000001,20485508.16,671171.2000000001,3662446.08,1844219.04,2104139.04,8241196.8,1518279.36,237740.15999999997,0.0,0.0
MA.14_1,83681137.14,0.0,35863531.2,28583652.6,3506191.68,1349.4830335720728,791678302.38,97175705.64,21073309.86,51054559.74,3891315.1199999996,140279906.04,10406610.42,1560534.12,6241700.82,21547307.939999998,62633531.220000006,154513789.56,5062369.2,27624329.28,13910188.14,15870658.14,62159968.8,11451758.76,1793176.5599999998,0.0,0.0
MA.15_1,64261950.24,0.0,27540979.200000003,21950481.6,2692538.8800000004,0.0,607960090.08,74624946.24,16183001.76,39206751.84,2988289.92,107726312.64,7991634.72,1198393.92,4793241.12,16547003.04,48098687.52,118657056.96,3887587.2,21213780.48,10682166.24,12187686.24,47735020.8,8794244.16,1377048.96,0.0,0.0
MA.1_1,63877792.24,0.0,27376339.200000003,21819261.6,2676442.8800000004,2159.1763839444343,604325704.08,74178838.24,16086259.76,38972373.84,2970425.92,107082324.64,7943860.72,1191229.92,4764587.12,16448085.04,47811153.52,117947724.96,3864347.2,21086964.48,10618308.24,12114828.24,47449660.8,8741672.16,1368816.96,0.0,0.0
MA.2_1,185646274.29,0.0,79563103.2,63412721.1,7778472.48,385.57162420504505,1756335206.43,215583921.54,46751055.21,113264340.39000002,8632867.319999998,311210420.94,23087024.37,3462038.82,13847188.770000001,47802618.089999996,138952243.17000002,342788235.65999997,11230846.200000001,61284466.080000006,30859697.790000003,35208992.79,137901646.79999998,25405681.860000003,3978155.1599999997,0.0,0.0
MA.3_1,13946856.19,0.0,5977255.2,4763942.100000001,584365.28,732.5754953022347,131946383.73,16195950.94,3512218.31,8509093.290000001,648552.5199999999,23379984.34,1734435.07,260089.02,1040283.4700000001,3591217.9899999998,10438921.870000001,25752298.259999998,843728.2000000001,4604054.88,2318364.69,2645109.69,10359994.799999999,1908626.4600000002,298862.75999999995,0.0,0.0
MA.4_1,57185759.879999995,0.0,24508310.400000002,19533409.2,2396050.56,0.0,541014699.96,66407636.879999995,14401014.12,34889509.080000006,2659235.0399999996,95864053.68,7111637.640000001,1066433.04,4265434.44,14724933.479999999,42802311.24,105591161.52,3459506.4,18877829.76,9505901.88,10845641.88,42478689.6,7825867.920000001,1225415.5199999998,0.0,0.0
