kton/a,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
MA,1920.79,0,823.2,656.1,80.48,9413.1,18171.93,2230.54,483.71,1171.89,89.32,3219.94,238.87,35.82,143.27,494.59,1437.67,3546.66,116.2,634.08,319.29,364.29,1426.8,262.86,41.16,0,0
NO,1920.79,0,823.2,656.1,80.48,9413.1,18171.93,2230.54,483.71,1171.89,89.32,3219.94,238.87,35.82,143.27,494.59,1437.67,3546.66,116.2,634.08,319.29,364.29,1426.8,262.86,41.16,0,0
CH,438.18,0,187.79,302.29,37.08,2356.38,4548.97,558.37,326.04,789.9,60.21,3684.9,54.17,8.12,32.5,112.16,12021.66,3465.94,600.67,0,1664.89,36.43,749.94,138.16,21.63,0,0
ME,18.28,0,7.83,2.29,0.28,238.65,460.71,56.55,0.38,0.92,0.07,161.3,1.93,0.29,1.15,3.99,0,101.98,3.1,46.48,117.97,0,5.89,1.08,0.17,0,0
MK,523.82,0,224.5,3.97,0.49,11.46,22.12,2.71,1.41,3.42,0.26,339.85,55.13,8.27,33.07,114.16,318.32,192.96,173.79,2.48,31.07,0,10.19,1.88,0.29,0,0
RS,1191.73,0,510.75,221.04,27.12,365.65,705.89,86.65,123.47,299.14,22.8,3376.04,299.37,44.89,179.57,619.86,1703.87,3959.72,1037.21,110.9,1039.08,88.64,504.71,92.98,14.56,0,0
BA,850.2,0,364.37,7.14,0.88,1107.68,2138.37,262.48,27.76,67.25,5.13,515.49,64.03,9.6,38.41,132.58,182.01,765.24,222.06,80.26,207.48,0,18.33,3.38,0.53,0,0
AL,46.21,0,19.81,6.24,0.77,39.98,77.18,9.47,11.73,28.43,2.17,445.23,88.72,13.3,53.22,183.7,0,0,210.34,3.82,133.81,0,16.02,2.95,0.46,0,0
FR,10113.33,0,4870.8,4489.53,434.87,18999.22,18105.33,5248.4,1725,7984,901.93,46660.88,694.34,205.32,475.4,659.87,33572.27,57911.62,4940.77,2668.8,16691.43,1262.86,4371.32,805.33,126.1,0,0
DE,27776.6,0,14899.09,5227.35,749.06,33222.15,32272.49,7432.8,2554,22608,1464.46,33929.7,1453.2,259.1,834.81,2778.69,101293.31,164889.37,7493.39,7827.96,31072.79,3035.71,17230.14,3174.32,497.02,0,0
GB,6419.83,0,4486.88,1462.14,404.99,11389.57,52717.08,3380.87,230.83,3970,966.24,26078.61,0,17.53,282.81,596.13,32532.17,54937.18,10414.68,0,33494.28,1020,2665.52,491.07,76.89,0,0
IT,19642.86,0,2375.13,2502.46,246.22,21341.61,52022.6,5243.73,389.59,8840.82,857.47,24303.47,0,0,1423.61,1048.95,15915.82,98849.55,16125.87,1925.76,20553.92,692.14,1946.57,358.62,56.15,0,0
ES,12514.33,0,2330.36,1764.52,222.44,14745.26,85824.96,4546,1640.9,6195.2,775,21601.42,1552.37,112.44,117.56,2010.25,15657.88,29174.79,5308.06,1607.98,17749.26,485.71,2497.02,460.03,72.03,0,0
PL,6560.13,0,2637.9,910.24,43.18,15893.84,8667.89,4272.44,1115.23,4399.34,170.55,15659.43,0,0,7.58,1518.24,12752.27,21611.39,1539.46,3265.62,5904.12,2671.43,903.15,166.39,26.05,0,0
SE,2942,0,1432.44,140.59,22.35,2700.59,1956.82,380,11622,10255,132.05,3477.82,0,65.56,109.31,495.74,6971.85,12037.88,341.95,2065.77,8753.66,0,1189.24,219.1,34.31,0,0
NL,3580.35,0,3414.79,783.11,69.82,2292.24,2972,1402.53,44.2,2643,249.63,19062.27,0,36.66,38.34,760.31,3406.78,15142.2,1281.81,234.87,6139.78,2792.86,8772.65,1616.19,253.06,0,0
BE,4873.01,0,2384.13,1493.22,177.46,5550.63,13063.63,1396.07,2078.04,2149.23,392.7,12334.71,0,0,0,1971.86,7972.88,5938.97,2693.74,881.53,4498.06,1044.29,3897.23,717.99,112.42,0,0
FI,2687.8,0,1300.5,730.91,38.41,1168.18,1722.79,290.14,10450,10320,104.37,3828.43,0,0,27.69,947.45,2314.64,11691.14,374.98,2111.02,3969.93,94.71,901.04,166,25.99,0,0
